#qsoName		ra		dec			Z		Y		J		H		K		errZ		errY		errJ		errH		errK		
SDSSJ2216+0013		334.1834167	0.23002779		-1000		-1000		20.1955		19.9214		19.78079	-1000		-1000		0.082579	0.088241	0.106845		
SDSSJ2220-0101		335.07704  	-1.0296911		-1000		-1000		20.3003		20.1221		19.8401		-1000		-1000		0.044583	0.05636		0.063681		
SDSSJ2228+0110		337.18141  	1.1756111 		-1000		-1000		22.8673		-1e+09		23.813		-1000		-1000		0.651941	-1e+09		2.82132		
SDSSJ2228-0757		337.188125 	-7.9653833		-1000		19.8829		19.6294		-1000		19.254		-1000		0.035686	0.046513	-1000		0.069089		
SDSSJ2233-0107		338.3651666	-1.1178888		-1000		-1000		21.2173		21.2836		20.8501		-1000		-1000		0.176382	0.30356		0.274075		
SDSSJ2238-0027		339.7091666	-0.4505	  		-1000		-1000		21.3316		20.4756		20.897		-1000		-1000		0.096962	0.15122		0.1177		
SDSSJ2239+0030		339.7814999	0.5062777 		-1000		-1000		21.2079		21.5864		20.6903		-1000		-1000		0.083873	0.521553	0.093129		
SDSSJ2245+0024		341.3511249	0.40394440		-1000		-1000		21.0615		21.5793		20.7796		-1000		-1000		0.311511	0.933468	0.141546		
SDSSJ2307+0031		346.89729  	0.53038880		-1000		-1000		21.363		20.5216		20.2377		-1000		-1000		0.118432	0.16692		0.069496		
SDSSJ2312+0100		348.0684999	1.0143055 		-1000		-1000		20.947		20.4767		20.5528		-1000		-1000		0.063375	0.094172	0.082024		
SDSSJ2315-0023		348.94404  	-0.3994722		-1000		-1000		21.4536		21.0602		20.6564		-1000		-1000		0.131801	0.132116	0.126575		
SDSSJ2334-0010		353.7293749	-0.1728055		-1000		-1000		20.8195		20.8203		20.8092		-1000		-1000		0.068941	0.18332		0.126488		
SDSSJ2356+0023		359.214910003	0.3925833 		-1000		-1000		22.3893		-1e+09		21.6354		-1000		-1000		0.50012		-1e+09		0.48375		
SDUVJ0935-0207		143.847125 	-2.1317778		-1000		20.0631		20.0149		19.8543		19.8093		-1000		0.057744	0.074199	0.120992	0.201194		
SDUVJ1147-0109		176.776708302	-1.1661667		19.3245		-1000		18.9545		18.8159		18.8517		0.008875	-1000		0.020317	0.018021	0.02386		
SDUVJ1317-0239		199.3365833	-2.6536111		20.7704		20.5631		20.5297		20.217		20.2844		0.025432	0.039474	0.043454	0.073094	0.088819		
SDUVJ1335-0328		203.9843333	-3.4772778		18.8146		18.608		18.6357		18.5372		18.3247		0.005495	0.008496	0.008632	0.016918	0.015248		
SDUVJ2142-0120		325.663625 	-1.3334167		-1000		-1000		20.2213		20.1322		19.7885		-1000		-1000		0.062972	0.088664	0.070432		
SDUVJ2325-0553		351.4026667	-5.8911944		-1000		19.26		19.0553		19.0163		18.9907		-1000		0.03983		0.038281	0.049711	0.066777		
SDUVJ2351-0459		357.8512917	-4.9853610		-1000		19.7808		20.0166		19.6846		19.5553		-1000		0.058804	0.084882	0.087186	0.096328		
