#survey qsoName              ra          dec        redshift   Z            errZ         Y             errY          J             errJ          H             errH          K             errK          unW1mag   unW1err   unW1snr    unW2mag   unW2err   unW2snr    w3mpro   w3sig   w3snr   w4mpro   w4sig   w4snr  
  MMT		J0215-0529        33.8469583    -5.4960556   5.13       -999.99999   -999.99999   20.803019     0.030233      20.728556     0.023432      -999.99999    -999.99999    -999.99999    -999.99999    17.8436   0.1012    10.2318    16.8759   0.1636    6.1474     -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDWISE	J0216+2304     34.1006666    23.0692972   5.26       -999.99999   -999.99999   -999.99999    -999.99999    19.331617     0.06724       -999.99999    -999.99999    -999.99999    -999.99999    16.4575   0.0334    32.029     15.7109   0.0648    16.2647    11.683   0.0     1.9     8.631    0.0     1.3    
  CFHQS		J0216-0455      34.115875     -4.9261388   6.01       -999.99999   -999.99999   24.6372       0.247252      26.282454     0.437423      -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0218-0027       34.5878333    -0.4626946   5.11       -999.99999   -999.99999   21.628914     0.29846       22.873352     1.541676      21.112642     0.293985      21.087944     0.396794      17.54     0.082     12.7457    16.7926   0.1554    6.5003     12.214   0.0     1.6     8.718    0.0     1.0    
  MMT		J0221-0342A       35.3013333    -3.7087778   5.02       -999.99999   -999.99999   -999.99999    -999.99999    21.611343     0.030836      -999.99999    -999.99999    21.058971     0.025789      18.3848   0.1646    6.1109     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0221-0342B      35.3025416    -3.7145      5.02       -999.99999   -999.99999   -999.99999    -999.99999    19.456396     0.004902      -999.99999    -999.99999    19.102245     0.004542      16.3099   0.028     38.2857    15.7013   0.0606    17.4172    12.273   0.0     1.6     8.928    0.0     0.9    
  PSO		J036.5078+03.0498 36.5078068    3.0498383    6.54       -999.99999   -999.99999   19.44531      0.046195      19.395844     0.07829       19.302153     0.073144      19.284279     0.072052      16.6574   0.0382    27.913     16.1818   0.093     11.1871    12.03    0.0     2.0     8.943    0.0     0.3    
  SDSS		J0230+0046       37.5094583    0.7796667    5.41       -999.99999   -999.99999   21.69301      0.369559      21.180923     0.280637      -9.999995E8   -9.999995E8   22.458172     1.460676      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0239-0045       39.876        -0.7514999   5.82       -999.99999   -999.99999   21.280462     0.310687      21.938683     0.285638      21.381704     0.398043      22.554907     1.160875      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  PSO		J040.0159+17.5458 40.0159141    17.5458092   5.68       -999.99999   -999.99999   -999.99999    -999.99999    20.931189     0.214968      -999.99999    -999.99999    -999.99999    -999.99999    17.5445   0.0832    12.5493    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDWISE	J0241+0435     40.4705       4.5981833    5.22       -999.99999   -999.99999   19.85347      0.074357      19.524174     0.07461       19.018496     0.078272      19.160837     0.082516      16.2017   0.026     41.2219    15.5296   0.0546    19.4053    12.296   0.4     2.7     8.422    0.0     1.7    
  SDSS		J0301+0020       45.3208749    0.3405556    5.5        -999.99999   -999.99999   -9.999995E8   -9.999995E8   23.637009     2.257237      21.519697     0.615247      21.416903     0.635245      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDWISE	J0306+1853     46.677125     18.8877361   5.36       17.440346    0.005408     -999.99999    -999.99999    17.105412     0.005452      -999.99999    -999.99999    -999.99999    -999.99999    14.2731   0.0062    173.5226   13.4583   0.0103    105.248    10.507   0.1     11.5    7.586    0.16    7.0    
  SDSS		J0321+0029       50.4794583    0.4948335    5.04       -999.99999   -999.99999   21.123297     0.177202      21.494242     0.252634      20.516426     0.195897      -999.99999    -999.99999    -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0338+0021       54.6221249    0.3656388    5.03       -999.99999   -999.99999   19.759558     0.043463      19.663857     0.009136      19.571606     0.05378       19.207964     0.073856      16.7812   0.0426    24.9908    16.1741   0.0935    11.1145    12.064   0.0     0.7     8.896    0.0     0.6    
  SDSS		J0341-0048       55.424375     -0.8035444   5.68       -999.99999   -999.99999   20.447645     0.113552      20.24627      0.092051      20.340736     0.135572      20.151651     0.127964      17.2734   0.064     16.4698    16.5345   0.1249    8.2001     -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0349+0034       57.4974999    0.5676388    5.2        -999.99999   -999.99999   21.950874     0.29926       21.49432      0.217916      20.743198     0.257664      21.026398     0.244104      18.1237   0.1447    7.0153     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0353+0104       58.4572136    1.0679614    6.07       -999.99999   -999.99999   20.69698      0.107632      20.154232     0.078056      19.965164     0.141612      19.98165      0.133513      16.8637   0.0474    22.425     16.3057   0.1046    9.8886     11.92    0.0     1.5     8.348    0.0     1.0    
  PSO		J060.5529+24.8567 60.5528945    24.8567857   6.18       20.317106    0.076657     20.275885     0.106571      19.953764     0.080042      20.079893     0.128411      19.525164     0.046113      16.5131   0.0361    29.5692    15.879    0.0756    13.8774    12.019   0.0     0.9     8.838    0.0     0.3    
