NAME	Z	SOURCE      	NOTES
J120859.23-020034.80	6.2	Matsuoka17	SHELLQs
J121721.34+013142.47	6.2	Banados16	PANSTARRS+DECaLS
J022743.29-060530.20	6.2	Willott09	CFHQS
J021721.59-020852.60	6.20	Matsuoka17	SHELLQs
J104845.05+463718.30	6.198	Fan03	SDSS
J091833.17+013923.30	6.19	Matsuoka18	SHELLQs
J223212.03+001238.40	6.18	Matsuoka16	SHELLQs
J142517.72-001540.90	6.18	Matsuoka17	SHELLQs
J040212.69+245124.43	6.18	Banados16	PANSTARRS
J084408.61-013216.50	6.18	Matsuoka18	SHELLQs
J022122.71-080251.50	6.16	Willott10	CFHQS
J160937.27+304147.70	6.16	Jiang16	SDSS
J220132.07+015529.00	6.16	Matsuoka17	SHELLQs
J114632.66-015438.30	6.16	Matsuoka18	SHELLQs
J221917.22+010248.90	6.156	Kashikawa15	Subaru, VIMOS
J222901.65+145709.00	6.15	Willott10	CFHQS
J235632.45-062259.26	6.15	Wang16	SDSS-WISE and PANSTARRS - not claimed by SDSS
J083400.88+021146.90	6.15	Matsuoka18	SHELLQs
J090921.50+044042.90	6.15	Matsuoka18	SHELLQs
J231832.91-302934.7	6.146	used by Venemans18	PANSTARRS? unpublished
J042138.05-265715.61	6.14	Banados16	PANSTARRS
J140147.34+274935.03	6.14	Banados16	PANSTARRS
J143140.45-072446.47	6.14	Banados16	PANSTARRS
J131911.29+095051.40	6.132	Mortlock09	UKIDSS, also SDSS - unclear
J003311.40-012524.90	6.13	Willott07	CFHQS
J125051.93+313022.90	6.13	Fan06	SDSS
J142331.71-001809.10	6.13	Matsuoka17	SHELLQs
J144001.30-010702.20	6.13	Matsuoka17	SHELLQs
J142738.59+331241.00	6.12	McGreer	NDWFS; radio selected
J150941.78-174926.80	6.12	Willott07	CFHQS
J042201.00-192728.69	6.12	Banados16	PANSTARRS
J225205.44+022531.90	6.12	Matsuoka18	SHELLQs
J231546.57-002358.10	6.117	Jiang08	Becker15, SDSS
J142821.39-160243.30	6.11	Banados16	PANSTARRS
J155850.99-072409.59	6.11	Banados16	PANSTARRS
J045401.79-444831.10	6.1	Reed15	DES-VHS
J00093089+325212.94	6.10	Banados16	PANSTARRS
J221644.47-001650.10	6.10	Matsuoka16	SHELLQs
J0109	6.10	DES-VHS in prep	DES-VHS
J140646.88-014402.60	6.10	Matsuoka18	SHELLQs
J210054.62-171522.50	6.09	Willott10	CFHQS
J160254.18+422822.90	6.09	Fan04	SDSS
J023542.42-053241.60	6.09	Matsuoka17	SHELLQs
J222847.71+015240.50	6.08	Matsuoka17	SHELLQs
J193207.62+713908.41	6.08	Banados16	PANSTARRS
J030331.40-001912.90	6.078	Jiang08	SDSS
J035349.72+010404.40	6.072	Jiang08	SDSS
J042011.34-445323.80	6.07	Reed17	DES-VHS
J091114.27+015219.40	6.07	Matsuoka17	SHELLQs (possible)
J155909.09+221217.43	6.07	Wang17	DECaLS
J141653.01+014702.20	6.07	Matsuoka18	SHELLQs
J100219.10-142515.96	6.07	Chehade18	ATLAS
J084229.43+121850.50	6.069	DeRosa11	SDSS, also Jiang15
J205406.49-000514.80	6.062	Jiang08	SDSS
J120103.02+013356.40	6.06	Matsuoka17	SHELLQs
J163033.90+401209.60	6.058	Fan03	SDSS
J082813.41+263355.49	6.05	used by Reines16	UKIDSS unpublished
J231802.80-024634.00	6.05	Willott09	CFHQS
J055945.47-153500.20	6.05	Banados16	PANSTARRS
J095740.39+005333.60	6.05	Matsuoka18	SHELLQs
J222309.51+032620.3	6.05	Matsuoka18	SHELLQs
J160349.07+551032.30	6.041	Kashikawa15	Subaru, ELAIS, marginal
J120737.43+063010.10	6.040	Jiang15	SDSS; also Warren in prep?
J142910.22-000207.40	6.04	Matsuoka17	SHELLQs
J140254.67+402403.19	6.04	Banados16	PANSTARRS
J164121.64+375520.50	6.04	Willott07	CFHQS
J140029.99-012521.00	6.04	Matsuoka18	SHELLQs
J140028.79-001151.50	6.27	Matsuoka18	SHELLQs
J040819.23-563228.82	6.03	Reed17	DES-VHS
J221556.63+260629.41	6.03	Banados16	PANSTARRS
J005502.91+014618.30	6.03	Willott09	CFHQS
J020258.21-025153.60	6.03	Matsuoka17	SHELLQs (possible)
J020611.20-025537.80	6.03	Matsuoka17	SHELLQs (possible)
J141612.71+001546.20	6.03	Matsuoka17	SHELLQs
J141728.67+011712.40	6.02	Matsuoka17	SHELLQs
J015957.96-363356.88	6.02	Carnall15	ATLAS
J125757.47+634937.20	6.02	Jiang15	SDSS
J130608.26+035626.30	6.016	Fan01	SDSS
J021627.81-045534.10	6.01	Willott09	CFHQS
J113717.73+354956.90	6.01	Fan06	SDSS
J222827.83+012809.50	6.01	Matsuoka16	SHELLQs
J120754.14-000553.30	6.01	Matsuoka16	SHELLQs
J090254.87+015510.90	6.01	Matsuoka17	SHELLQs
J085348.84+013911.00	6.01	Matsuoka17	SHELLQs
J121905.34+005037.50	6.01	Matsuoka18	SHELLQs
J234007.83+235801.8	6.0099	SDSS DR12	NOT REAL - INCLUDED FOR COMPLETENESSS
J231038.88+185519.70	6.003	Jiang16	SDSS; Wang13
J081827.40+172251.80	6.0	Fan06	SDSS
J225002.01-501542.15	6.00	Reed17	DES-VHS
J0131	6.00	DES-VHS in prep	DES-VHS
J224049.00-183943.80	6.0	Banados14	PANSTARRS
J235651.58+002333.30	6.00	Jiang09	SDSS
J002806.56+045725.70	5.99	Jiang15	SDSS; paper:6.04, also PANSTARRS, Banados14
J023152.95-285020.10	5.99	Banados14	PANSTARRS
J004623.43-283746.30	5.99	used by Venemans18	PANSTARRS? unpublished
034652.04-162836.88	5.99	Banados16	PANSTARRS
015804.14-290519.25	5.99	Banados16	PANSTARRS
J031649.87-134032.30	5.99	Willott10	CFHQS
J085813.51+000057.10	5.99	Matsuoka18	SHELLQs
J0532	5.97	DES-VHS in prep	DES-VHS
J084119.52+290504.40	5.96	Goto06	SDSS
J0433	5.96	DES-VHS in prep	DES-VHS
J010250.64-021809.90	5.95	Willott09	CFHQS
003856.52-102553.90	5.95	Banados16	PANSTARRS
110953.43+565707.61	5.95	Banados16	PANSTARRS
174800.51+224652.36	5.95	Banados16	PANSTARRS
J222843.54+011032.20	5.95	Zeimann11	VLA; radio selected
J220417.92+01114.80	5.94	Kim15	IMS
031710.42-263315.71	5.94	Banados16	PANSTARRS
J141439.54+013036.50	5.94	Matsuoka17	SHELLQs
J120246.37-005701.70	5.93	Matsuoka16	SHELLQs
J000825.77-062604.60	5.929	Jiang15	SDSS and PANSTARRS
J141111.29+121737.40	5.927	Fan04	SDSS
J014837.64+060020.00	5.923	Jiang15	SDSS, also Warren in prep?
J105928.61-090620.40	5.92	Willott10	CFHQS
J205321.77+004706.80	5.92	Jiang09	SDSS
071346.31+085532.65	5.92	Banados16	PANSTARRS
151444.91+211419.78	5.92	Banados16	PANSTARRS
215456.16-093027.46	5.92	Banados16	PANSTARRS
J090314.68+021128.30	5.92	Matsuoka17	SHELLQs
090328.91-135001.27	5.91	Banados16	PANSTARRS
125630.97+253251.45	5.91	Banados16	PANSTARRS
J133550.81+353315.80	5.901	Fan06	SDSS
J232914.46-040324.10	5.9	Willott09	CFHQS
013201.70-021603.11	5.90	Banados16	PANSTARRS
211824.97-105557.43	5.90	Banados16	PANSTARRS
J022029.72-043204.00	5.90	Matsuoka18	SHELLQs
J122913.20+041927.70	5.89	Banados14	PANSTARRS
J083525.76+321752.60	5.89	Jiang16	SDSS
025040.58-025502.82	5.89	Banados16	PANSTARRS
044407.73-043333.07	5.89	Banados16	PANSTARRS
J142200.23+001103.00	5.89	Matsuoka18	SHELLQs
J141327.11-223342.20	5.88	Banados14	PANSTARRS
J224237.55+033421.60	5.88	Willott10	CFHQS
050344.56-073022.07	5.88	Banados16	PANSTARRS
103137.69-023935.67	5.88	Banados16	PANSTARRS
J230735.35+003149.40	5.87	Jiang09	SDSS
J211951.89-004020.10	5.87	Jiang16	SDSS
033550.53-154744.50	5.87	Banados16	PANSTARRS
J223148.89-003547.50	5.87	Matsuoka18	SHELLQs
