# RA         Dec         redshift  unW1mag   unW1err unW1snr    unW2mag   unW2err unW2snr    w3mpro    w3sig   w3snr  w4mpro   w4sig   w4snr
 36.9303750  -6.0917222  6.200    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 37.5094583   0.7796667  5.410    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 37.9068333  -7.4817778  5.370     15.9864   0.0203  53.1188    15.0055   0.0316  33.9022    12.098    0.00    1.9    9.183    0.00    0.6  
 37.9706570 -28.8389110  6.000     17.6440   0.0786  13.3226    16.7487   0.1347   7.5699    11.937    0.00    2.0    8.670    0.00    1.1  
 38.9267500  -5.5448889  6.090    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 39.8760000  -0.7514999  5.820    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 40.0159141  17.5458093  5.680     17.5445   0.0832  12.5493   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 40.4705000   4.5981833  5.220     16.2017   0.0260  41.2219    15.5296   0.0546  19.4053    12.296    0.40    2.7    8.422    0.00    1.7  
 41.0000000 -50.1333333  6.740    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 36.1105700 -47.1914900  6.500     16.1142   0.0187  57.5114    15.4214   0.0364  29.3617    12.727    0.00    0.4    9.120    0.00    0.3  
 41.7329167 -52.3305278  6.870     17.4638   0.0532  19.9196    16.9382   0.1241   8.2560    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 42.6690900  -2.9174500  5.890     17.8810   0.1110   9.2907   -99.9990  -9.9900 -99.9990    11.538    0.00    1.8    8.425    0.00   -0.2  
 42.8388749   3.5548388  5.000     15.6994   0.0167  64.4479    14.9963   0.0323  33.1072    11.815    0.24    4.5    9.202    0.00   -0.2  
 43.0693333  -5.0588333  7.020     17.4108   0.0741  14.1509    16.9059   0.1771   5.6436    12.539    0.00    0.2    9.020    0.00    0.3  
 45.1840820 -22.5408850  5.680     16.1950   0.0250  42.9978    15.7815   0.0600  17.6125    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 45.3208749   0.3405556  5.500    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 45.8808330  -0.3202499  6.080    -99.9990  -9.9900 -99.9990    16.6054   0.1345   7.5842    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 46.3204830 -31.8488610  6.610     17.4706   0.0637  16.5516    16.8853   0.1386   7.3433    12.842    0.00    0.4    8.984    0.00    0.9  
 46.6771250  18.8877361  5.360     14.2731   0.0062 173.5226    13.4583   0.0103 105.2480    10.507    0.10   11.5    7.586    0.16    7.0  
 49.2077910 -13.6756380  5.990    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 49.2934283 -26.5543637  5.940     17.9278   0.0985  10.5344   -99.9990  -9.9900 -99.9990    12.931    0.00    0.6    9.588    0.00   -0.7  
 49.9235833 -10.1461111  6.830     17.1023   0.0507  20.9334    16.0957   0.0788  13.2901    12.124    0.00    0.9    8.900    0.00   -0.9  
 50.4794583   0.4948335  5.040    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 50.9180833 -47.0222583  6.250     17.9028   0.0765  13.7039    17.1598   0.1460   6.9481    12.716    0.00    0.7    9.012    0.00    0.9  
 52.1479420 -32.8896780  5.860     16.9785   0.0413  25.7967    16.1180   0.0708  14.8477    12.961    0.00    0.7    9.281    0.00    0.8  
 52.6163333 -40.4212222  6.250     17.4960   0.0602  17.5352   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 53.9605244 -15.7956943  5.870     17.7454   0.0881  11.8349    16.6231   0.1201   8.5490    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 54.6221249   0.3656388  5.030     16.7812   0.0426  24.9908    16.1741   0.0935  11.1145    12.064    0.00    0.7    8.896    0.00    0.6  
 55.4243750  -0.8035444  5.680     17.2734   0.0640  16.4698    16.5345   0.1249   8.2001    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 56.7168500 -16.4769100  5.990     16.6386   0.0349  30.6365    15.7132   0.0567  18.6522    12.635    0.00   -1.1    9.023    0.00   -0.2  
 57.4974999   0.5676388  5.200     18.1237   0.1447   7.0153   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 58.4572136   1.0679614  6.070     16.8637   0.0474  22.4250    16.3057   0.1046   9.8886    11.920    0.00    1.5    8.348    0.00    1.0  
 60.5528945  24.8567857  6.180     16.5131   0.0361  29.5692    15.8790   0.0756  13.8774    12.019    0.00    0.9    8.838    0.00    0.3  
 62.0801250 -56.5413389  6.030     17.3748   0.0418  25.4682    16.5722   0.0755  13.8923    12.756    0.00    1.2    9.483    0.00    0.3  
 62.5134583 -44.2446389  6.210     17.3948   0.0499  21.2459    16.9291   0.1200   8.5587    12.970    0.00    0.5    9.037    0.00    0.8  
 62.8692910  -9.1305000  6.810     16.8247   0.0429  24.8148    16.0512   0.0786  13.3142    12.622    0.00   -0.8    8.746    0.00    0.5  
 65.0472500 -44.8899444  6.070     17.3254   0.0452  23.5294    16.4940   0.0799  13.0909    12.428    0.00    1.6    9.055    0.00    0.7  
 65.4085370 -26.9543351  6.140     16.3072   0.0257  41.8207    15.8590   0.0618  17.0636    12.766    0.53    2.0    8.611    0.00    1.3  
 65.5041465 -19.4579685  6.120     16.0220   0.0210  51.1906    15.0467   0.0319  33.5141    12.070    0.31    3.5    8.894    0.43    2.5  
 69.9461660  16.5710277  6.510     13.9821   0.0051 212.3651    13.2759   0.0090 120.1732    10.276    0.09   12.4    7.165    0.12    8.7  
 71.0322143  -4.5591868  5.890     17.3541   0.0624  16.9150    16.7159   0.1327   7.6931    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 71.4507500  -2.3332900  5.690     16.2425   0.0248  43.2436    15.6753   0.0565  18.7382    11.681    0.00    1.3    8.669    0.48    2.3  
 73.5074500 -44.8086400  6.090     17.1742   0.0396  26.8998    16.5425   0.0825  12.6705    12.573    0.00    1.0    8.645    0.00    2.0  
 75.9356600  -7.5061300  5.880     17.1667   0.0575  18.3772    16.4986   0.1129   9.1299    11.847    0.32    3.4    8.154    0.00    1.6  
 89.9394446 -15.5833895  6.050     15.5151   0.0141  76.7374    14.5213   0.0204  52.6870    12.067    0.28    3.9    9.030    0.00    0.3  
106.6099580  29.3515277  6.580     15.9408   0.0220  48.8152    15.3470   0.0464  22.9085    12.427    0.48    2.2    8.537    0.34    3.2  
108.4429416   8.9257369  5.920     16.0183   0.0231  46.4520    15.1230   0.0386  27.5979    12.528    0.54    2.0    8.303    0.00    1.1  
112.7630300  44.9970700  5.010     15.9182   0.0201  53.4560    15.3860   0.0443  23.9944    11.792    0.25    4.4    8.309    0.00    1.7  
115.4780000  25.3415694  5.190     14.7280   0.0086 125.4479    13.8709   0.0139  77.5181    11.590    0.24    4.5    8.373    0.34    3.2  
116.9549166  11.8979055  5.260     14.5937   0.0076 141.7307    13.7802   0.0127  85.0517    11.358    0.22    5.0    8.786    0.51    2.1  
119.0755812  41.0690592  5.060     16.8361   0.0447  23.8204    16.1390   0.0871  11.9701    11.856    0.00    1.7    8.629    0.00    1.1  
120.7725830  31.6428333  6.380     16.9738   0.0527  20.1150    16.4641   0.1229   8.3425    12.053    0.00    0.8    8.709    0.40    2.7  
122.7263086  51.0944730  5.820     16.8969   0.0442  24.0909    16.1582   0.0845  12.3525    12.362    0.00    0.7    8.995    0.00    0.1  
123.2034166   4.6823722  5.290     16.3326   0.0301  35.6341    15.4131   0.0507  20.9344    12.436    0.00   -0.1    8.683    0.00   -0.7  
124.6141845  17.3811127  6.020     15.6122   0.0170  63.2628    14.8751   0.0316  33.8409    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
126.2250634  13.0380490  5.150     16.5212   0.0367  29.0552    15.6192   0.0616  17.1252    11.942    0.00    1.1    8.156    0.00    1.5  
127.0558622  26.5654140  6.050     16.7144   0.0416  25.6121    16.0946   0.0886  11.7613    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
127.2817406   3.0657009  5.850     17.4249   0.0712  14.7599    16.5593   0.1281   7.9863    12.447    0.00    0.0    8.500    0.00    0.7  
127.3832080  41.2945555  6.770     17.2460   0.0609  17.3209    16.6034   0.1283   7.9744    12.464    0.00    0.2    9.025    0.00    0.1  
127.3879166  25.1126667  5.350     16.7066   0.0417  25.5520    15.8611   0.0758  13.8362    11.625    0.00    1.9    8.240    0.00    1.6  
128.3235833  27.4413889  5.020     17.1091   0.0581  18.2059    16.6346   0.1466   6.9181    11.936    0.00    1.4    8.795    0.00    0.4  
128.5036667   2.1963611  6.150    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
128.8573333  32.2979444  5.890     18.0212   0.1257   8.1457    16.8501   0.1706   5.8792    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
128.9765132   5.6314046  5.070     16.4048   0.0302  35.3899    15.7400   0.0640  16.4735    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
129.1827665   0.9147934  5.810     15.2677   0.0120  89.9035    14.4345   0.0207  52.0419    12.571    0.53    2.0    9.006    0.00    0.0  
129.4076660  49.4834444  6.710     17.2543   0.0611  17.2817    16.0040   0.0743  14.1197    12.578    0.00    0.4    9.155    0.00   -0.2  
129.9453330  39.0031944  6.910     16.4210   0.0312  34.2581    15.6984   0.0609  17.3271    12.247    0.00    0.6    8.586    0.00    0.7  
129.9806500   0.2650583  5.840     17.6069   0.0866  12.0383    16.9208   0.1696   5.9145    12.462    0.50    2.2    8.957    0.00   -0.5  
130.1462615  56.4056176  5.840     16.8173   0.0422  25.2109    16.1939   0.0852  12.2506    12.361    0.00    0.1    8.473    0.00    1.5  
130.3313231  29.0845966  5.980     17.1866   0.0650  16.2100    16.4011   0.1200   8.5606    12.288    0.00    0.4    9.073    0.00   -1.5  
130.6226384  12.3140508  6.070     16.3351   0.0292  36.7263    15.7472   0.0670  15.7124    12.353    0.43    2.5    9.022    0.00    0.0  
131.0358750  -1.5379167  6.180    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
131.1316666  -0.8818333  6.250    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
131.6160038   8.0143655  5.000     16.9038   0.0471  22.5659    16.3865   0.1098   9.3952    12.093    0.00    0.7    8.741    0.00    0.3  
132.6173333  -5.1019167  5.360     17.4382   0.0761  13.7799    16.3371   0.1026  10.0950    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
132.7010255  32.7799831  5.870     16.7028   0.0386  27.6055    15.9698   0.0775  13.5210    11.959    0.00    1.0    8.592    0.00    1.3  
133.4535000   1.6530555  6.010    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
