# na        desig               ra_2           dec_2          redshift   Z         errZ       Y         errY       J         errJ       H         errH       K          errK      
  SDSS      J1204-0021          181.17389474   -0.36378588    5.09       19.133    0.005591   19.0645   0.010367   19.0186   0.011244   18.8071   0.02445    18.7733    0.026686  
  SDSS      J1208+0010          182.09924999   0.17436111     5.273      20.4216   0.020739   20.3402   0.04319    20.3476   0.046886   -1000.0   -1000.0    -1000.0    -1000.0   
  SDSS      J1233+0622          188.38947332   6.376165019    5.302      -1000.0   -1000.0    -1000.0   -1000.0    19.7347   0.023658   -1000.0   -1000.0    19.1987    0.021144  
  SDSS      J1306+0356          196.5344701    3.94065562     6.016      19.5317   0.014035   20.037    0.044328   19.682    0.04069    19.6226   0.054243   19.3628    0.04932   
  SDSS      J1429+3304          217.40820833   33.07116666    5.39       -1000.0   -1000.0    -1000.0   -1000.0    -1000.0   -1000.0    -1000.0   -1000.0    -1000.0    -1000.0   
  SDSS      J2053+0047          313.3407       0.7852222      5.92       -1000.0   -1000.0    -1000.0   -1000.0    21.1041   0.202136   20.3073   0.162763   20.3151    0.155456  
  SDSS      J2054-0005          313.52704      -0.0874444     6.0391     -1000.0   -1000.0    -1000.0   -1000.0    20.5995   0.090454   20.1506   0.08371    20.2603    0.116134  
  SDSS      J2118-0003          319.5530416    -0.0640833     5.46       -1000.0   -1000.0    -1000.0   -1000.0    20.9861   0.101479   21.0501   0.161158   20.3564    0.121165  
  SDSS      J2119-0040          319.96620833   -0.67225       5.87       -1000.0   -1000.0    -1000.0   -1000.0    21.5185   0.143981   22.2086   0.412747   20.8814    0.172898  
  SDSS      J2147+0107          326.98087      1.1320277      5.81       -1000.0   -1000.0    -1000.0   -1000.0    20.9619   0.15297    21.1878   0.319104   20.7681    0.251651  
  SDSS      J2211+0011          332.92087499   0.18858333     5.23       -1000.0   -1000.0    -1000.0   -1000.0    22.5388   0.55071    21.2079   0.270105   20.8       0.212201  
  SDSS      J2212-0042          333.21454166   -0.70852777    5.42       -1000.0   -1000.0    -1000.0   -1000.0    20.445    0.050246   19.6594   0.056452   19.827     0.053517  
  SDSS      J2216+0013          334.18341666   0.23002778     5.01       -1000.0   -1000.0    -1000.0   -1000.0    20.1955   0.082579   19.9214   0.088241   19.78079   0.106845  
  SDSS      J2220-0101          335.07704      -1.02969114    5.62       -1000.0   -1000.0    -1000.0   -1000.0    20.3003   0.044583   20.1221   0.05636    19.8401    0.063681  
  SDSS      J2228+0110          337.18141      1.1756111      5.95       -1000.0   -1000.0    -1000.0   -1000.0    22.8673   0.651941   -1.0E9    -1.0E9     23.813     2.82132   
  SDSS      J2228-0757          337.18812499   -7.96538333    5.142      -1000.0   -1000.0    19.8829   0.035686   19.6294   0.046513   -1000.0   -1000.0    19.254     0.069089  
  SDSS      J2233-0107          338.3651666    -1.1178888     5.11       -1000.0   -1000.0    -1000.0   -1000.0    21.2173   0.176382   21.2836   0.30356    20.8501    0.274075  
  SDSS      J2238-0027          339.7091666    -0.4505        5.17       -1000.0   -1000.0    -1000.0   -1000.0    21.3316   0.096962   20.4756   0.15122    20.897     0.1177    
  SDSS      J2239+0030          339.7814999    0.5062777      5.09       -1000.0   -1000.0    -1000.0   -1000.0    21.2079   0.083873   21.5864   0.521553   20.6903    0.093129  
  SDSS      J2245+0024          341.3511249    0.4039444      5.16       -1000.0   -1000.0    -1000.0   -1000.0    21.0615   0.311511   21.5793   0.933468   20.7796    0.141546  
  SDSS      J2307+0031          346.89729      0.5303888      5.87       -1000.0   -1000.0    -1000.0   -1000.0    21.363    0.118432   20.5216   0.16692    20.2377    0.069496  
  SDSS      J2312+0100          348.0684999    1.0143055      5.08       -1000.0   -1000.0    -1000.0   -1000.0    20.947    0.063375   20.4767   0.094172   20.5528    0.082024  
  SDSS      J2315-0023          348.94404      -0.3994722     6.117      -1000.0   -1000.0    -1000.0   -1000.0    21.4536   0.131801   21.0602   0.132116   20.6564    0.126575  
  SDSS      J2334-0010          353.7293749    -0.1728055     5.11       -1000.0   -1000.0    -1000.0   -1000.0    20.8195   0.068941   20.8203   0.18332    20.8092    0.126488  
  SDSS      J2356+0023          359.21491      0.3925833      6.0        -1000.0   -1000.0    -1000.0   -1000.0    22.3893   0.50012    -1.0E9    -1.0E9     21.6354    0.48375   
  SUV       J0935-0207          143.847125     -2.13177777    5.32       -1000.0   -1000.0    20.0631   0.057744   20.0149   0.074199   19.8543   0.120992   19.8093    0.201194  
  SUV       J1147-0109          176.77670833   -1.16616666    5.31       19.3245   0.008875   -1000.0   -1000.0    18.9545   0.020317   18.8159   0.018021   18.8517    0.02386   
  SUV       J1317-0239          199.33658333   -2.65361111    5.25       20.7704   0.025432   20.5631   0.039474   20.5297   0.043454   20.217    0.073094   20.2844    0.088819  
  SUV       J1335-0328          203.98433333   -3.47727777    5.67       18.8146   0.005495   18.608    0.008496   18.6357   0.008632   18.5372   0.016918   18.3247    0.015248  
  SUV       J2142-0120          325.66362499   -1.33341666    5.61       -1000.0   -1000.0    -1000.0   -1000.0    20.2213   0.062972   20.1322   0.088664   19.7885    0.070432  
  SUV       J2325-0553          351.40266666   -5.89119444    5.22       -1000.0   -1000.0    19.26     0.03983    19.0553   0.038281   19.0163   0.049711   18.9907    0.066777  
  SUV       J2351-0459          357.85129166   -4.98536111    5.25       -1000.0   -1000.0    19.7808   0.058804   20.0166   0.084882   19.6846   0.087186   19.5553    0.096328  
  ULAS      J0203+0012          30.88491549    0.20813044     5.72       -1000.0   -1000.0    -1000.0   -1000.0    19.6971   0.024275   19.2845   0.043862   19.0671    0.028712  
  VDES      J0020-3653          5.1311237      -36.8949476    6.9        -1000.0   -1000.0    -1000.0   -1000.0    20.4218   0.068346   -1000.0   -1000.0    19.3191    0.077284  
  VDES      J0143-5545          25.79266666    -55.75296666   6.25       -1000.0   -1000.0    -1000.0   -1000.0    20.6008   0.058414   -1000.0   -1000.0    20.1028    0.111185  
  VDES      J0224-4711          36.11057       -47.19149      6.5        -1000.0   -1000.0    -1000.0   -1000.0    19.7277   0.037308   19.4472   0.053283   18.9381    0.041804  
  VDES      J0244-5008          41.0           -50.13333333   6.74       -1000.0   -1000.0    -1000.0   -1000.0    -1.0E9    -1.0E9     -1.0E9    -1.0E9     -1.0E9     -1.0E9    
  VDES      J0246-5219          41.7329167     -52.3305278    6.87       -1000.0   -1000.0    -1000.0   -1000.0    21.1093   0.117443   -1000.0   -1000.0    20.3886    0.170366  
  VDES      J0323-4701          50.91808333    -47.02225833   6.25       -1000.0   -1000.0    -1000.0   -1000.0    20.8195   0.108824   20.7502   0.150313   20.3485    0.156271  
  VDES      J0330-4025          52.61633333    -40.42122222   6.25       -1000.0   -1000.0    -1000.0   -1000.0    20.4463   0.052711   -1000.0   -1000.0    20.0449    0.117168  
  VDES      J0408-5632          62.080125      -56.54133888   6.03       -1000.0   -1000.0    -1000.0   -1000.0    19.8519   0.029861   -1000.0   -1000.0    19.6841    0.073266  
  VDES      J0410-4414          62.51345833    -44.24463888   6.21       -1000.0   -1000.0    -1000.0   -1000.0    20.6921   0.075025   -1000.0   -1000.0    20.1701    0.137838  
  VDES      J0420-4453          65.04725       -44.88994444   6.07       -1000.0   -1000.0    -1000.0   -1000.0    20.5504   0.055901   -1000.0   -1000.0    19.9928    0.100805  
  VDES      J0454-4448          73.50745       -44.80864      6.09       -1000.0   -1000.0    -1000.0   -1000.0    20.1971   0.040816   -1000.0   -1000.0    20.0772    0.110717  
  VDES      J2131-4359          322.792875     -43.9840278    6.45       -1000.0   -1000.0    -1000.0   -1000.0    21.2669   0.136868   -1000.0   -1000.0    20.6195    0.193745  
  VDES      J2211-6320          332.7525       -63.3488333    6.88       -1000.0   -1000.0    -1000.0   -1000.0    21.2716   0.126666   -1000.0   -1000.0    21.0677    0.348324  
  VDES      J2250-5015          342.508375     -50.26170833   6.0        -1000.0   -1000.0    -1000.0   -1000.0    19.1663   0.027578   18.9598   0.031104   18.9449    0.041831  
  CFHQS     J0033-0125          8.2975         -1.4235833     6.13       -1000.0   -1000.0    -1000.0   -1000.0    21.406    0.189515   21.3218   0.264906   20.7865    0.168865  
  CFHQS     J0102-0218          15.710999      -2.3027499     5.95       -1000.0   -1000.0    -1.0E9    -1.0E9     21.6473   0.349543   22.6456   1.24065    22.5119    1.54465   
  CFHQS     J0210-0456          32.554958      -4.9391388     6.4323     -1000.0   -1000.0    -1000.0   -1000.0    22.3316   0.351583   22.612    0.566269   21.1051    0.227516  
  CFHQS     J0216-0455          34.115875      -4.9261388     6.01       24.5991   0.072544   26.6418   0.828466   -1.0E9    -1.0E9     -1.0E9    -1.0E9     -1.0E9     -1.0E9    
  CFHQS     J0221-0802          35.344625      -8.0476388     6.161      -1000.0   -1000.0    -1000.0   -1000.0    22.1023   0.178284   -1000.0   -1000.0    21.0364    0.200961  
  CFHQS     J0227-0605          36.930375      -6.0917222     6.2        22.2103   0.082237   22.0918   0.151424   21.9283   0.136283   21.9447   0.209255   21.4867    0.184642  
  CFHQS     J1059-0906          164.8692       -9.1056666     5.92       -1000.0   -1000.0    21.6997   0.319767   20.3452   0.103771   21.7347   0.581143   20.8331    0.365261  
  CFHQS     J1509-1749          227.42408      -17.824111     6.121      -1000.0   -1000.0    19.7952   0.031323   19.7458   0.03971    -1000.0   -1000.0    19.4865    0.076862  
  CFHQS     J2100-1715          315.22758      -17.256249     6.087      -1000.0   -1000.0    23.323    1.37618    21.1611   0.286949   -1000.0   -1000.0    21.1043    0.550015  
  CFHQS     J2318-0246          349.51166      -2.7761111     6.05       -1000.0   -1000.0    22.7599   0.976984   22.1491   0.572927   21.0807   0.277245   20.3866    0.233077  
  CFHQS     J2329-0301          352.2845       -3.0329999     6.417      -1000.0   -1000.0    21.1419   0.268863   22.2019   0.676721   20.9639   0.302898   20.9464    0.373539  
  CFHQS     J2329-0403          352.31025      -4.0566944     5.9        -1000.0   -1000.0    25.0024   6.69078    23.1083   1.25675    -1.0E9    -1.0E9     22.4071    1.18566   
  FIRST     J1427+3312          216.91079      33.211666      6.12       -1000.0   -1000.0    -1000.0   -1000.0    -1000.0   -1000.0    -1000.0   -1000.0    -1000.0    -1000.0   
  SDSS      J0221-0342B         35.3025416     -3.7145        5.02       19.404    0.008158   -1000.0   -1000.0    19.5239   0.022416   19.1301   0.023164   19.1008    0.023904  
  VDES      J0216-5226          34.161875      -52.4390556    6.41       -1000.0   -1000.0    -1000.0   -1000.0    21.2238   0.162722   -1000.0   -1000.0    20.6358    0.194466  
  SDWISE    J0025-0145          6.3618333      -1.7590306     5.07       -1000.0   -1000.0    18.0268   0.014261   17.9464   0.013751   17.7178   0.019219   17.5892    0.01761   
  SDWISE    J0115-0253          18.94279165    -2.8867333     5.07       -1000.0   -1000.0    19.6678   0.037416   19.6158   0.037204   19.435    0.048352   19.467     0.064981  
  SDWISE    J0131-0321          22.8639166     -3.3500527     5.18       -1000.0   -1000.0    17.8442   0.010375   17.6459   0.008571   17.3564   0.009443   17.3555    0.015374  
  SDWISE    J1601-1828          240.2964999    -18.4764111    5.06       -1000.0   -1000.0    -1000.0   -1000.0    19.0822   0.036538   -1000.0   -1000.0    18.5998    0.042346  
  SDWISE    J2207-0416          331.7921666    -4.2823        5.53       -1000.0   -1000.0    18.6563   0.020255   18.7896   0.025132   18.2716   0.023609   18.1361    0.026353  
  SDWISE    J2226-0618          336.5517083    -6.3020249     5.08       -1000.0   -1000.0    18.6373   0.017965   18.696    0.022697   18.4457   0.028863   18.3469    0.030038  
  SHELLQs   J0202-0251          30.74254166    -2.86488888    6.03       -1000.0   -1000.0    -1000.0   -1000.0    22.6114   0.480528   21.4811   0.254108   21.1975    0.270172  
  SHELLQs   J0206-0255          31.54666666    -2.92716666    6.03       -1000.0   -1000.0    -1000.0   -1000.0    21.0968   0.104752   21.1553   0.165836   20.7584    0.145611  
  SHELLQs   J0211-0203          32.9355417     -2.0510833     6.37       -1000.0   -1000.0    -1000.0   -1000.0    23.2487   0.829644   21.4814   0.274807   22.5103    0.77258   
  SHELLQs   J0213-0626          33.3205833     -6.4375556     6.72       -1000.0   -1000.0    -1000.0   -1000.0    22.0605   0.23826    24.4756   3.24696    21.4649    0.281805  
  SHELLQs   J0217-0208          34.33995833    -2.14794444    6.2        -1000.0   -1000.0    -1000.0   -1000.0    24.2728   3.07889    22.4699   1.01431    22.3706    0.97907   
  SHELLQs   J0220-0432          35.1238333     -4.5344444     5.9        23.2897   0.20584    23.5286   0.050945   23.3867   0.066915   23.3482   0.098209   22.9565    0.104759  
  SHELLQs   J0235-0532          38.92675       -5.54488889    6.09       -1000.0   -1000.0    -1000.0   -1000.0    -1.0E9    -1.0E9     23.6556   1.64812    22.5631    0.878681  
  SHELLQs   J0834+0211          128.5036667    2.1963611      6.15       -1000.0   -1000.0    -1000.0   -1000.0    23.1476   1.2228     21.8687   0.455501   21.903     0.908691  
