#Name	Redshift	M_1450	Selection	Instrument	Exp. Time(s)	Grating	Slit	Obs. Date	
PS1 J121402.71-123548.67	4.74	-27.75	z5	SSO2.3 m/WiFeS	1200.0	R3000	1.0	2015 May 12	
PS1 J123141.01-184149.86	4.77	-27.33	z5	SSO2.3 m/WiFeS	1500.0	R3000	1.0	2015 May 14	
PS1 J125049.27-065758.59	4.72	-27.48	z5	SSO2.3 m/WiFeS	1200.0	R3000	1.0	2015 May 13	
PS1 J130031.14-282931.00	4.71	-28.00	z5	SSO2.3 m/WiFeS	1200.0	R3000	1.0	2015 May 13	
PS1 J131013.11-063951.56	5.06	-26.37	z5	SSO2.3 m/WiFeS	2400.0	R3000	1.0	2015 May 12	
PS1 J131326.06-261721.83	5.54	-27.25	z55	SSO2.3 m/WiFeS	1800.0	R3000	1.0	2015 May 12	
PS1 J133614.74-183043.29	4.75	-27.39	z5	SSO2.3 m/WiFeS	663.0	R3000	1.0	2015 May 13	
PS1 J140322.58-120905.75	4.70	-26.96	z5	SSO2.3 m/WiFeS	2400.0	R3000	1.0	2015 May 13	
PS1 J142721.56-050353.04	5.08	-27.35	z55	SSO2.3 m/WiFeS	2400.0	R3000	1.0	2017 Mar 06	
PS1 J143552.35-123856.17	4.81	-27.04	z5	SSO2.3 m/WiFeS	2400.0	R3000	1.0	2015 May 13	
PS1 J151911.32-065042.97	4.95	-26.94	z5	SSO2.3 m/WiFeS	1800.0	R3000	1.0	2015 May 13	
PS1 J153241.40-193032.70	4.68	-27.66	z5	SSO2.3 m/WiFeS	1200.0	R3000	1.0	2015 May 12	
PS1 J153359.76-181027.21	5.03	-27.39	z5	SSO2.3 m/WiFeS	1500.0	R3000	1.0	2015 May 13	
PS1 J172839.85+061509.17	4.63	-27.91	cdots	SSO2.3 m/WiFeS	900.0	R3000	1.0	2015 Jul 20	
PS1 J201939.72-194717.70	4.61	-27.52	z5	SSO2.3 m/WiFeS	900.0	R3000	1.0	2015 Jul 20	
PS1 J202618.71-012256.49	4.67	-27.09	z5	Magellan/LDSS3	1800.0	VPH-Red	1.0_center	2018 Jul 22	
PS1 J203310.47+121851.49	5.11	-27.37	z5	Magellan/LDSS3	1200.0	VPH-Red	1.25_center	2018 Jul 23	
PS1 J210759.13-032300.53	4.64	-26.92	z5	Magellan/LDSS3	1800.0	VPH-Red	1.25_center	2018 Jul 22	
PS1 J214109.55+220206.04	4.76	-28.14	z5	Magellan/LDSS3	1200.0	VPH-Red	1.25_center	2018 Jul 23	
PS1 J220158.60-202627.36	4.73	-28.10	z5	SSO2.3 m/WiFeS	600.0	R3000	1.0	2015 Jul 20	
PS1 J221413.89-153712.13	4.69	-27.14	z5	SSO2.3 m/WiFeS	671.0	R3000	1.0	2015 Jul 23	
PS1 J222357.87-252634.24	4.80	-27.37	z5	Magellan/LDSS3	1200.0	VPH-Red	1.25_center	2018 Jul 22	
PS1 J225944.26+093624.42	4.86	-27.51	z5	Magellan/LDSS3	1200.0	VPH-Red	1.25_center	2018 Jul 23	
PS1 J230126.46+245709.41	4.95	-27.42	z5	Magellan/LDSS3	1200.0	VPH-Red	1.25_center	2018 Jul 23	
PS1 J230640.20+264434.91	4.63	-27.78	z5	Magellan/LDSS3	1200.0	VPH-Red	1.25_center	2018 Jul 23	
Note. Quasars J0332+1811 and J0941-0117 were included by both z ~ 5.5 and z ~ 5 selections.
