# na	desig	ra	dec	redshift	Z	errZ	Y	errY	J	errJ	H	errH	K	errK	unW1mag	unW1err	unW1snr	unW2mag	unW2err	unW2snr	w3mpro	w3sig	w3snr	w4mpro	w4sig	w4snr
SDSS	J0115+0015	18.9365833	0.2541388	5.09999990463	-999999500.0	-999999500.0	20.7749443216	0.148176297545	20.4617075326	0.03562119452343194	20.1508212052	0.05710662011742588	19.9188446371	0.040917823789630596	17.1682739258	0.0652674511075	16.1401824951	16.6991996765	0.157384067774	6.41071462631	12.4879999161	-999999488.0	-999999488.0	8.52799987793	-999999488.0	0.20000000298
SDWISE	J0115-0253	18.94279165	-2.8867333	5.07000017166	19.8818206801	0.128887102008	19.7354691129	0.03437882677150012	19.6335422277	0.03329682472879848	19.4707765952	0.042247536715709064	19.4858327821	0.05194314913177007	16.366985321	0.029860900715	35.8620147705	15.8333015442	0.0702454894781	14.9617128372	11.7600002289	-999999488.0	1.70000004768	8.32199954987	-999999488.0	1.39999997616
SDWISE	J0116+0538	19.0595833	5.6382499	5.32999992371	-999999500.0	-999999500.0	19.118478775	0.0493881031871	18.9058837891	0.0541917681694	18.9525566101	0.0747585147619	18.92070961	0.0711161419749	16.3536949158	0.0307168103755	34.8489952087	15.6438903809	0.0606533326209	17.4053382874	12.234000206	0.361000001431	3.0	8.8360004425	-999999488.0	0.600000023842
PSO	J021.4213-25.8822	21.42133775	-25.88228802	5.78999996185	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	16.2233104706	0.0245791338384	43.6748847961	15.5982208252	0.0528170093894	20.0606174469	12.5310001373	0.42199999094	2.59999990463	8.33699989319	-999999488.0	2.0
SDSS	J0129-0028	22.281	-0.4793055	5.01000022888	-999999500.0	-999999500.0	21.0693836374	0.258845239878	21.6498699812	0.11397645658527529	21.4544907962	0.1769698196480664	21.1119231749	0.170027822256	18.133813858	0.13544100523	7.52669811249	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDSS	J0129-0035	22.493791	-0.5943611	5.77869987488	-999999500.0	-999999500.0	22.0225486917	0.618102312088	21.7245768821	0.1219438423068313	21.5564288546	0.19557365309288077	21.6243781614	0.272583544254	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDWISE	J0131-0321	22.8639166	-3.3500527	5.17999982834	-999999500.0	-999999500.0	17.8441676984	0.0147800119594	17.6767005396	0.00833473105096578	17.3563670807	0.0117113199085	17.3554820585	0.0182167124003	14.5422945023	0.00708897644654	152.659301758	13.8865947723	0.0135677782819	79.5241394043	11.4460000992	0.173999994993	6.19999980927	8.49199962616	-999999488.0	1.89999997616
PSO	J023.0071-02.2675	23.0071	-2.26753	5.90000009537	-999999500.0	-999999500.0	20.1966552734	0.160805031657	20.1594581604	0.156134054065	19.8862953186	0.210506856441	19.6976242065	0.166069358587	16.5677719116	0.034080285579	31.3607673645	15.443523407	0.0478340312839	22.2016582489	12.013999939	-999999488.0	1.60000002384	8.73099994659	-999999488.0	1.20000004768
SDSS	J0133+0106	23.3618333	1.11047222	5.30000019073	-999999500.0	-999999500.0	20.2805271311	0.11538156122	20.665172787	0.054443321582006536	20.0854907485	0.05858136709100168	20.1100417684	0.062142180307651715	16.8500671387	0.0470916591585	22.5594043732	15.8708591461	0.0756203979254	13.8635187149	12.4390001297	-999999488.0	0.40000000596	8.82900047302	-999999488.0	0.300000011921
CFHQS	J0136+0226	24.013208	2.4349166	6.21000003815	-999999500.0	-999999500.0	22.4110374451	0.650314509869	-999999488.0	-999999488.0	22.2152061462	0.932690382004	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
PSO	J025.2376-11.6831	25.23764	-11.68319	5.84999990463	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	16.7651462555	0.0408276170492	26.0963439941	15.9009628296	0.0706166699529	14.8804788589	12.2600002289	0.426999986172	2.5	8.48299980164	-999999488.0	1.79999995232
ATLAS	J025.6821-33.4627	25.6821972	-33.46263	6.33799982071	19.5172233582	0.0111547252163	19.1365146637	0.0147552443668	19.1067771912	0.0117418440059	18.9543609619	0.0243803020567	18.7545013428	0.029029244557	16.1295223236	0.0217424910516	49.4378128052	15.3627824783	0.0403098091483	26.4378643036	12.5819997787	0.433999985456	2.5	8.71599960327	-999999488.0	1.60000002384
VDES	J0143-5545	25.79266666	-55.75296666	6.25	-999999500.0	-999999500.0	-999999500.0	-999999500.0	20.6008033752	0.0825041383505	-999999500.0	-999999500.0	20.1027698517	0.139855861664	17.0695495605	0.0404363870621	26.3535804749	15.9281396866	0.0543076023459	19.496515274	12.2690000534	-999999488.0	1.5	9.17700004578	-999999488.0	-999999488.0
ULAS	J0148+0600	27.15681283	6.00557339	5.98000001907	19.2275619507	0.0147801423445	19.5195102692	0.0626933127642	19.1136226654	0.0216359831393	19.1250667572	0.0705721899867	19.0223922729	0.0760385096073	16.1074981689	0.0238042250276	45.1130180359	15.3564853668	0.0461556613445	23.0269069672	12.1750001907	0.296000003815	3.70000004768	8.96399974823	0.391999989748	2.79999995232
SDWISE	J0155+0415	28.8886666	4.2518725	5.36999988556	-999999500.0	-999999500.0	19.6336021423	0.0703608244658	19.2100334167	0.0629201233387	19.0072078705	0.0569595135748	18.9111213684	0.0635062232614	16.1298389435	0.0252925436944	42.4289741516	15.2664546967	0.0431696921587	24.6537532806	12.3059997559	-999999488.0	1.10000002384	8.36699962616	-999999488.0	1.89999997616
PSO	J029.5172-29.0886	29.51726	-29.08868	5.98999977112	19.274515152	0.00806452427059	19.2110557556	0.0192280933261	19.1415596008	0.0142824808136	19.1293945312	0.0265598073602	18.910282135	0.0294951312244	16.2491569519	0.0257418528199	41.6798286438	15.4979743958	0.0480963140726	22.077917099	12.0109996796	0.28900000453	3.79999995232	8.50599956512	-999999488.0	1.70000004768
ATLAS	J029.9915-36.5658	29.9915479	-36.565723	6.01999998093	-999999500.0	-999999500.0	-999999500.0	-999999500.0	19.4813671112	0.0277967359871	-999999500.0	-999999500.0	19.229593277	0.0560404472053	16.607749939	0.0323499776423	33.064666748	15.9127616882	0.0645237416029	16.3318748474	12.6190004349	-999999488.0	0.300000011921	8.76299953461	-999999488.0	1.29999995232
SHELLQs	J0202-0251	30.74254166	-2.86488888	6.03000020981	-999999500.0	-999999500.0	-999999500.0	-999999500.0	22.6113891602	0.644830048084	21.4810771942	0.325205385685	21.1975135803	0.3311881423	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
ULAS	J0203+0012	30.88491549	0.20813044	5.71999979019	-999999500.0	-999999500.0	20.4643917246	0.115686140954	19.7583666557	0.018656669743090885	19.2524608365	0.043548964908280585	19.1172562405	0.021262442800909012	16.5205516815	0.0342161171138	31.2343521118	15.8785247803	0.0719610676169	14.5933456421	12.3190002441	0.40000000596	2.70000004768	9.06499958038	-999999488.0	0.20000000298
SDSS	J0205-0955	31.4442916	-9.92325	5.36999988556	-999999500.0	-999999500.0	-999999500.0	-999999500.0	23.7333488464	1.85286211967	-999999500.0	-999999500.0	22.4987163544	1.32423472404	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SHELLQs	J0206-0255	31.54666666	-2.92716666	6.03000020981	-999999500.0	-999999500.0	-999999500.0	-999999500.0	21.1169373592	0.10383673392253343	21.1552657776	0.212234705687	20.8529583911	0.14403331411359938	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDSS	J0208-0112	32.0179583	-1.2095277	5.23000001907	-999999500.0	-999999500.0	21.1031723185	0.217374950647	20.9062067075	0.08007705022016269	21.10617703	0.1293460540411786	20.8816213604	0.1485557935935576	18.0072040558	0.12044352293	8.52372264862	-999999488.0	-999999488.0	-999999488.0	12.8520002365	-999999488.0	-999999488.0	9.20800018311	-999999488.0	-999999488.0
CFHQS	J0210-0456	32.554958	-4.9391388	6.43230009079	-999999500.0	-999999500.0	-999999500.0	-999999500.0	22.1519223977	0.11771855988474994	22.6120319061	0.724705517292	21.1050586271	0.27889841795	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDSS	J0210+0003	32.7361249	0.0513056	5.05000019073	-999999500.0	-999999500.0	21.3915939493	0.285089761019	21.0610596175	0.04759217626213627	20.7433289293	0.16073944365113793	20.0255357398	0.03799903398800874	16.9146347046	0.0455367602408	23.3465957642	16.0818843842	0.0832902342081	12.5419616699	12.5329999924	0.374000012875	2.90000009537	9.10999965668	0.541999995708	2.0
SHELLQs	J0211-0203	32.9355417	-2.0510833	6.36999988556	-999999500.0	-999999500.0	-999999500.0	-999999500.0	23.2486877441	1.11331629753	21.4814167023	0.351695209742	22.5102996826	0.947061896324	17.741443634	0.0921816825867	11.2852888107	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SHELLQs	J0213-0626	33.3205833	-6.4375556	6.71999979019	-999999500.0	-999999500.0	-999999500.0	-999999500.0	22.0605144501	0.319725632668	24.4755859375	4.1554312706	21.4648799896	0.345448821783	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
MMT	J0215-0529	33.8469583	-5.49605555	5.13000011444	20.8168334846	0.0438503548503	20.7074129295	0.008727926992657408	20.7368247787	0.022543548318701173	20.0821494751	0.102382861078	20.3823947477	0.186059325933	17.843585968	0.101243704557	10.2317552567	16.875919342	0.163640961051	6.14742279053	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDWISE	J0216+2304	34.1006666	23.0692972	5.26000022888	-999999500.0	-999999500.0	-999999500.0	-999999500.0	19.3316173553	0.0845845267177	-999999500.0	-999999500.0	-999999500.0	-999999500.0	16.4575405121	0.0333800315857	32.0290527344	15.7109212875	0.064782269299	16.2647380829	11.6829996109	-999999488.0	1.89999997616	8.63099956512	-999999488.0	1.29999995232
CFHQS	J0216-0455	34.115875	-4.9261388	6.01000022888	24.5990638618	0.100123912096	25.8195698763	0.33809921675089066	27.1076843868	0.8281764050651527	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SHELLQs	J0217-0208	34.33995833	-2.14794444	6.19999980927	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999488.0	-999999488.0	22.46991539	1.29810130596	22.370634079	1.20018553734	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	12.4530000687	-999999488.0	0.800000011921	9.29500007629	-999999488.0	-999999488.0
SDSS	J0218-0027	34.5878333	-0.4626946	5.11000013351	-999999500.0	-999999500.0	21.6289138956	0.35370644927	20.9610755613	0.057876559422186245	21.1224501944	0.22912858466219121	20.5058962174	0.0744716724100878	17.5400428772	0.0820079296827	12.7457056046	16.7925720215	0.155363246799	6.50029373169	12.2139997482	-999999488.0	1.60000002384	8.71800041199	-999999488.0	1.0
SHELLQs	J0220-0432	35.1238333	-4.5344444	5.90000009537	23.2597561313	0.1971554309948531	23.547841709	0.050053178230217904	23.3868371276	0.06392833398529175	23.3615093589	0.0979161080487699	22.9719082448	0.1052571104713061	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	12.7989997864	-999999488.0	0.40000000596	9.15499973297	-999999488.0	-999999488.0
MMT	J0221-0342A	35.3013333	-3.70877777	5.01999998093	21.5896835213	0.0774519592524	21.8450584302	0.21563655138	21.6211168901	0.029600634676279665	20.8161334686	0.137891545892	21.0593758402	0.025376166160672387	18.3848114014	0.164549410343	6.11086368561	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
