no,l,b,RA_1,DEC_1,RA(hms),DEC(dms),Name,Class,Rmag,B/Gmag,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,redshift,citation,redshift_citation,Xname,Rname,FIRST____flux(mJy),NVSS____flux(mJy),VLBI_flux__1.4GHz(mJy),VLBI_flux__1.6GHz(mJy),VLBI_flux__1.7GHz(mJy),VLBI_flux__2.3GHz(mJy),VLBI_flux__3GHz(mJy),VLBI_flux__4.3GHz(mJy),VLBI_flux__4.9GHz(mJy),VLBI_flux_5GHz(mJy),VLBI_flux__7.6GHz(mJy),VLBI_flux__8.3(mJy),VLBI_flux__8.4(mJy),VLBI_flux___8.6GHz(mJy),VLBI_flux__15GHz(mJy),VLBI_flux_22GHz(mJy),VLBI_flux__43GHz(mJy),VLBI_reference,notes
1565,308.515999,,61.506468,-1.249808,13 02 04.99,-01 14 59.31,SDSS~J130204.98-011459.3,Q,20.6,22.2,24.24,22.2,20.56,20.25,20.11,4.35,0.1,0.03,0.04,0.12,4.11,2012A&A...548A..66P,2017A&A...597A..79P,,,0.155*,,,,,,,,,,,,,,,,,,
1566,57.710011,,87.409682,28.188590,13 02 06.68,+28 11 18.92,SDSS~J130206.68+281118.9,QX,23.7,25.1,25.14,25.09,23.68,21.16,20.34,0.88,0.48,0.34,0.07,0.13,4.87,2017A&A...597A..79P,2017A&A...597A..79P,3XMM J130206.5+281117,,0.127*,,,,,,,,,,,,,,,,,,
1567,310.202775,,68.337179,5.617503,13 02 12.04,+05 37 03.01,SDSS~J130212.04+053703.0,Q,19.3,21.8,23.49,21.39,19.89,19.6,19.57,0.45,0.05,0.02,0.02,0.06,4.063,2005AJ....130..367S,2017A&A...597A..79P,,,0.152*,,,,,,,,,,,,,,,,,,
1568,119.637577,,61.960762,55.098200,13 02 15.72,+55 05 53.52,SDSS~J130215.72+550553.5,Q,19.8,21.9,24.33,21.88,19.82,19.02,18.78,0.91,0.07,0.03,0.02,0.04,4.458,2017A&A...597A..79P,2017A&A...597A..79P,,,0.136*,,,,,,,,,,,,,,,,,,
1569,308.957231,,63.253896,0.508929,13 02 16.13,+00 30 32.14,SDSS~J130216.13+003032.1,Q,21,23.1,24.68,23.08,21.03,19.88,19.7,0.84,0.2,0.04,0.03,0.08,4.505,2005AJ....130..367S,2017A&A...597A..79P,,,0.151*,,,,,,,,,,,,,,,,,,
1570,344.430641,,86.241800,24.287277,13 02 21.73,+24 17 14.20,SDSS~J130221.73+241714.1,Q,19.8,20.2,23.84,21.58,20.37,20.1,20.07,0.67,0.05,0.03,0.03,0.08,4.001,2017A&A...597A..79P,2017A&A...597A..79P,,,0.139*,,,,,,,,,,,,,,,,,,
1571,337.219871,,85.418312,23.315181,13 02 40.37,+23 18 54.65,SDSS~J130240.37+231854.6,Q,19.5,20.8,25.62,21.4,19.38,19.23,19.19,0.57,0.04,0.02,0.02,0.05,4.271,2010AJ....139.2360S,2017A&A...597A..79P,,,0.131*,,,,,,,,,,,,,,,,,,
1572,330.510534,,83.955677,21.739252,13 03 28.28,+21 44 21.31,SDSS~J130328.28+214421.3,Q,21.7,24.4,24.03,24.39,21.73,19.95,19.99,0.76,0.47,0.08,0.03,0.1,4.772,2010AJ....139.2360S,2017A&A...597A..79P,,,0.15*,,,,,,,,,,,,,,,,,,
1573,120.496621,,54.754154,62.316837,13 03 32.40,+62 19 00.61,SDSS~J130332.40+621900.6,Q,21.1,24.4,23.36,24.39,21.12,19.83,19.61,0.55,0.46,0.05,0.03,0.1,4.642,2017A&A...597A..79P,2017A&A...597A..79P,,,0.143*,,,,,,,,,,,,,,,,,,
1574,311.103125,,68.300121,5.620679,13 03 32.75,+05 37 14.44,SDSS~J130332.75+053714.4,Q,20.6,21.8,24.06,21.81,20.57,20.29,20.65,0.71,0.07,0.03,0.04,0.17,4.093,2017A&A...597A..79P,2017A&A...597A..79P,,,0.145*,,,,,,,,,,,,,,,,,,
1575,115.789542,,71.964442,44.990323,13 03 55.13,+44 59 25.16,SDSS~J130355.12+445925.1,Q,19.8,21.6,24.7,21.6,20.11,19.99,20.04,0.67,0.05,0.02,0.03,0.08,4.02,2007AJ....134..102S,2017A&A...597A..79P,,,0.137*,,,,,,,,,,,,,,,,,,
1576,311.999448,,67.996194,5.364204,13 05 02.28,+05 21 51.13,SDSS~J130502.28+052151.1,Q,19,21.4,25.02,20.87,19.25,18.71,18.39,0.72,0.04,0.02,0.02,0.03,4.076,2005AJ....130..367S,2017A&A...597A..79P,,,0.145*,,,,,,,,,,,,,,,,,,
1577,313.135823,,69.314786,6.729822,13 05 53.30,+06 43 47.36,SDSS~J130553.29+064347.3,Q,19.3,21.4,24.71,21.18,19.81,19.4,19.22,1.38,0.04,0.02,0.03,0.06,4.047,2017A&A...597A..79P,2017A&A...597A..79P,,,0.151*,,,,,,,,,,,,,,,,,,
1578,70.980229,,85.977957,29.559972,13 06 00.05,+29 33 35.90,SDSS~J130600.05+293335.8,Q,19.6,21.6,23.16,20.91,19.58,19.39,19.32,0.52,0.03,0.03,0.02,0.07,4.082,2007AJ....134..102S,2017A&A...597A..79P,,,0.108*,,,,,,,,,,,,,,,,,,
1579,313.229222,,69.146578,6.569047,13 06 07.68,+06 34 08.57,SDSS~J130607.68+063408.5,Q,20.1,21.5,23.49,21.53,20.09,19.73,19.68,0.58,0.05,0.02,0.02,0.06,4.063,2017A&A...597A..79P,2017A&A...597A..79P,,,0.138*,,,,,,,,,,,,,,,,,,
1580,312.177871,,66.548139,3.940639,13 06 08.26,+03 56 26.30,SDSSp~J130608.26+035626.3,QX,23.6,24.6,25.51,24.65,23.68,22.4,19.42,0.7,0.61,0.4,0.23,0.06,5.99,2001AJ....122.2833F,2001AJ....122.2850B,CXO J130608.2+035626,,0.135*,,,,,,,,,,,,,,,,,,
