# no     l            b            RA_1         DEC_1        RA(hms)        DEC(dms)       Name                                       Class   Rmag    B/Gmag   psfMag_u   psfMag_g   psfMag_r   psfMag_i   psfMag_z   psfMagErr_u   psfMagErr_g   psfMagErr_r   psfMagErr_i   psfMagErr_z   redshift   citation                               redshift_citation     Xname                   Rname                    FIRST____flux(mJy)   NVSS____flux(mJy)   VLBI_flux__1.4GHz(mJy)   VLBI_flux__1.6GHz(mJy)   VLBI_flux__1.7GHz(mJy)   VLBI_flux__2.3GHz(mJy)   VLBI_flux__3GHz(mJy)   VLBI_flux__4.3GHz(mJy)   VLBI_flux__4.9GHz(mJy)   VLBI_flux_5GHz(mJy)   VLBI_flux__7.6GHz(mJy)   VLBI_flux__8.3(mJy)   VLBI_flux__8.4(mJy)   VLBI_flux___8.6GHz(mJy)   VLBI_flux__15GHz(mJy)   VLBI_flux_22GHz(mJy)   VLBI_flux__43GHz(mJy)   VLBI_reference                                                                                                              notes                                  
  1026   252.112407   ""           48.707031    -1.629817    "10 48 19.086" "-01 37 47.34" VIK~J1048-0109                             Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.66       "Venemans in prep."                    2018ApJ...854...97D   ""                      ""                       0.145*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2623   90.046933    -24.375966   338.22975    29.508975    "22 32 55.14"  "+29 30 32.31" PSO~J338.2298+29.5089                      Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.658      2015ApJ...801L..11V                    2015ApJ...801L..11V   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1399   141.62656    ""           70.517723    45.31964     "12 16 27.58"  "+45 19 10.7"  "DELS J121627.58+451910.7"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.654      2018arXiv181011926W                    "Yang in prep."       ""                      ""                       0.129*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2501   35.212318    -38.858767   319.205083   -14.98167    "21 16 49.22"  "-14 58 54.0"  "VHS J210219.22-145854.0"                  Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.648      2018arXiv181011926W                    "Yang in prep."       ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1165   251.618968   ""           49.045133    -1.161169    "10 48 19.09"  "-01 09 40.21" "DELS J104819.09-010940.21"                Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.63       2017ApJ...839...27W                    2017ApJ...839...27W   ""                      ""                       0.150*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  684    234.636689   ""           28.276528    -4.23522     "09 10 54.53"  "-04 14 06.8"  "DELS J091054.53-041406.8"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.63       2018arXiv181011926W                    2018arXiv181011926W   ""                      ""                       0.146*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  47     117.252174   -23.352511   6.124042     39.221931    "00 24 29.77"  "+39 13 18.95" PSO~006.1240+39.2219                       Q       >23.2   >23.3    ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.61       2017MNRAS.466.4568T                    2017MNRAS.466.4568T   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          "Observed, proposal code:VLA/16A-202"  
  339    230.300654   -60.611254   46.3205      -31.848889   "03 05 16.92"  "-31 50 56.00" VIKING~J0305-3150                          Q       22.1    0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.604      2013ApJ...779...24V                    2013ApJ...779...24V   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  731    228.432611   ""           35.437629    4.048444     "09 23 47.12"  "+04 02 54.4"  J0923+0402                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.6        2018ApJS..237....5M                    2018ApJS..237....5M   ""                      ""                       0.147*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1379   278.349902   ""           66.085915    5.092636     "12 12 26.981" "+05 05 33.49" PSO~J183.1124+05.0926                      Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.595      2016ApJS..227...11B                    2016ApJS..227...11B   ""                      ""                       0.147*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
