# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
               SHELLQsJ0923+0402,                 150,    +140.9463333,      +4.0484444,   5,    +19.436129,     +0.059187,          0
                  SDSSJ0927+2001,                 151,    +141.8409198,     +20.0232334,   3,    +20.077765,     +0.141586,          0
                  SDSSJ0932+1222,                 152,    +143.2073307,     +12.3682803,   3,    +20.421822,     +0.203079,          0
                 SUVAQJ0935-0207,                 153,    +143.8471250,      -2.1317778,   2,    +20.158926,     +0.080747,          0
                 SUVAQJ0935-0207,                 153,    +143.8471250,      -2.1317778,   3,    +20.155243,     +0.091258,          0
                 SUVAQJ0935-0207,                 153,    +143.8471250,      -2.1317778,   4,    +20.064915,     +0.140520,          0
                 SUVAQJ0935-0207,                 153,    +143.8471250,      -2.1317778,   5,    +20.075054,     +0.166452,          0
                  SDSSJ0948+2106,                 154,    +147.2306816,     +21.1087694,   3,    +19.687136,     +0.075457,          0
                  SDSSJ0957+0610,                 155,    +149.2819880,      +6.1832069,   2,    +19.219584,     +0.019693,          0
                  SDSSJ0957+0610,                 155,    +149.2819880,      +6.1832069,   3,    +19.043243,     +0.020782,          0
                  SDSSJ0957+0610,                 155,    +149.2819880,      +6.1832069,   4,    +18.715570,     +0.023911,          0
                  SDSSJ0957+0610,                 155,    +149.2819880,      +6.1832069,   5,    +18.664543,     +0.029530,          0
                 SUVAWJ0957+1016,                 156,    +149.3008333,     +10.2718056,   2,    +19.970257,     +0.078571,          0
                 SUVAWJ0957+1016,                 156,    +149.3008333,     +10.2718056,   3,    +19.993574,     +0.060604,          0
                 SUVAWJ0957+1016,                 156,    +149.3008333,     +10.2718056,   4,    +19.693392,     +0.076432,          0
                 SUVAWJ0957+1016,                 156,    +149.3008333,     +10.2718056,   5,    +19.869780,     +0.092097,          0
                  SDSSJ0957+0519,                 157,    +149.3661115,      +5.3181323,   2,    +19.751068,     +0.051258,          0
                  SDSSJ0957+0519,                 157,    +149.3661115,      +5.3181323,   3,    +19.658901,     +0.042137,          0
                  SDSSJ0957+0519,                 157,    +149.3661115,      +5.3181323,   4,    +19.596647,     +0.084978,          0
                  SDSSJ0957+0519,                 157,    +149.3661115,      +5.3181323,   5,    +19.675652,     +0.099289,          0
               SHELLQsJ0957+0053,                 158,    +149.4182917,      +0.8926667,   2, -9.999995E008, -9.999995E008,          0
               SHELLQsJ0957+0053,                 158,    +149.4182917,      +0.8926667,   3, -9.999995E008, -9.999995E008,          0
