# qsoName,ra,dec,apertureID,aperJky3,aperJky3Err,sumWeight,ppErrBits,mjdObs,filterID,aperJky3,aperJky3Err,weight,ppErrBits,project
#
# Results of Query: Database WSERV1000v20180716 15/10/18 22:09
# SELECT qso.qsoName, qso.ra, qso.dec, aver.apertureID, aver.aperJky3, 
# aver.aperJky3Err, aver.sumWeight, aver.ppErrBits, m.mjdObs, 
# m.filterID, remeas.aperJky3, remeas.aperJky3Err, w.weight, 
# remeas.ppErrBits, m.project FROM finalQsoCatalogue as qso, 
# MapApertureIDshighzQsoMap as ma, wserv1000MapRemeasAver as aver, 
# wserv1000MapRemeasurement as remeas, MapProvenance as v, 
# wserv1000MapAverageWeights as w, MapFrameStatus as mfs, Multiframe as 
# m WHERE qso.qsoID=ma.objectID and ma.apertureID=aver.apertureID and 
# aver.apertureID=remeas.apertureID and aver.catalogueID=v.combicatID 
# and v.avSetupID=1 and v.catalogueID=remeas.catalogueID and 
# w.combicatID=v.combicatID and w.catalogueID=v.catalogueID and 
# w.apertureID=aver.apertureID and mfs.catalogueID=remeas.catalogueID 
# and m.multiframeID=mfs.multiframeID and mfs.programmeID=10999 and 
# mfs.mapID=1 order by v.combicatID, m.mjdObs
# Column Headers at start of file AND below
#
# qsoName,ra,dec,apertureID,aperJky3,aperJky3Err,sumWeight,ppErrBits,mjdObs,filterID,aperJky3,aperJky3Err,weight,ppErrBits,project
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505302E004,   2,+8.562798E-007,+1.370853E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505326E004,   2,+1.765926E-006,+1.321730E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505349E004,   2,-1.114017E-006,+1.225032E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505372E004,   2,+1.592168E-006,+1.159453E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505408E004,   2,+1.728455E-006,+1.068244E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505435E004,   2,+1.878373E-006,+9.950443E-007,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505459E004,   2,+8.779547E-007,+9.458137E-007,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505480E004,   2,+1.545395E-006,+9.237985E-007,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505502E004,   2,+7.276831E-007,+9.220355E-007,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505526E004,   2,-4.726806E-007,+9.448632E-007,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505548E004,   2,-3.415945E-007,+1.004306E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507277E004,   2,+2.432811E-006,+1.264828E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507305E004,   2,+2.743313E-006,+1.190229E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507329E004,   2,-3.026485E-007,+1.100995E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507353E004,   2,+2.058573E-006,+1.088744E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507375E004,   2,+1.319540E-006,+1.062978E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507399E004,   2,+6.137252E-007,+1.021471E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507426E004,   2,-4.585457E-007,+1.006312E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507449E004,   2,-7.878994E-007,+9.778622E-007,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507472E004,   2,+6.363732E-007,+1.001081E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507496E004,   2,+5.311936E-007,+9.790663E-007,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507517E004,   2,+2.743812E-006,+9.744282E-007,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5507539E004,   2,+2.947319E-006,+1.027224E-006,   +100.000000,          0,                                                        U/10B/J1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+2.473612E-007,+2.981606E-007,   +600.000000,          0,  +5.5527346E004,   2,+1.416688E-006,+6.439404E-007,   +100.000000,          0,                                                        U/10B/K2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+2.473612E-007,+2.981606E-007,   +600.000000,          0,  +5.5527359E004,   2,-4.862321E-007,+6.724519E-007,   +100.000000,          0,                                                        U/10B/K2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+2.473612E-007,+2.981606E-007,   +600.000000,          0,  +5.5527410E004,   2,+7.620689E-007,+6.367535E-007,   +100.000000,          0,                                                        U/10B/K2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+2.473612E-007,+2.981606E-007,   +600.000000,          0,  +5.5527470E004,   2,-3.760598E-007,+6.939322E-007,   +100.000000,          0,                                                        U/10B/K2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+2.473612E-007,+2.981606E-007,   +600.000000,          0,  +5.5528337E004,   2,+3.445222E-007,+1.095837E-006,   +100.000000,          0,                                                        U/10B/K2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+2.473612E-007,+2.981606E-007,   +600.000000,          0,  +5.5528351E004,   2,-7.555204E-007,+8.945009E-007,   +100.000000,          0,                                                        U/10B/K2
                   MMTJ0215-0529,     +33.8469583,      -5.4960556,                  55,+1.758900E-005,+7.706781E-007,   +100.000000,          0,  +5.5903371E004,   2,+1.758900E-005,+7.706781E-007,   +100.000000,          0,                                                        U/11B/K2
                   MMTJ0215-0529,     +33.8469583,      -5.4960556,                  55,+1.549398E-005,+8.771590E-007,   +100.000000,          0,  +5.5952318E004,   2,+1.549398E-005,+8.771590E-007,   +100.000000,          0,                                                        U/11B/K3
                   MMTJ0215-0529,     +33.8469583,      -5.4960556,                  55,+1.785239E-005,+8.311450E-007,   +100.000000,          0,  +5.6155581E004,   2,+1.785239E-005,+8.311450E-007,   +100.000000,          0,                                                        U/12B/K1
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,-9.598470E-007,+6.553603E-007,   +200.000000,          0,  +5.3625504E004,   3,+6.763769E-008,+9.591872E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,-9.598470E-007,+6.553603E-007,   +200.000000,          0,  +5.3625595E004,   3,-1.859466E-006,+8.975219E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.492776E-007,+7.228299E-007,   +200.000000,          0,  +5.3634513E004,   3,+9.328915E-007,+1.106337E-006,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.492776E-007,+7.228299E-007,   +200.000000,          0,  +5.3639434E004,   3,+9.614821E-007,+9.547948E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+6.518484E-007,+7.998299E-007,   +100.000000,          0,  +5.3641541E004,   3,+6.518484E-007,+7.998299E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+5.743348E-007,+8.827097E-007,   +100.000000,          0,  +5.3654398E004,   3,+5.743348E-007,+8.827097E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+4.890348E-007,+7.116226E-007,   +100.000000,          0,  +5.3669420E004,   3,+4.890348E-007,+7.116226E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+4.831641E-007,+2.677020E-007,   +900.000000,          0,  +5.3687407E004,   3,-1.150995E-006,+8.819597E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+4.831641E-007,+2.677020E-007,   +900.000000,          0,  +5.3690300E004,   3,+1.799272E-006,+9.551475E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+4.831641E-007,+2.677020E-007,   +900.000000,          0,  +5.3690361E004,   3,+7.899507E-007,+9.423991E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+4.831641E-007,+2.677020E-007,   +900.000000,          0,  +5.3692422E004,   3,+1.771880E-006,+9.603231E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+4.831641E-007,+2.677020E-007,   +900.000000,          0,  +5.3693296E004,   3,+1.384864E-006,+7.610697E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+4.831641E-007,+2.677020E-007,   +900.000000,          0,  +5.3693359E004,   3,-1.370547E-007,+6.431990E-007,   +100.000000,          0,                                                   U/UKIDSS/UDS2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+4.831641E-007,+2.677020E-007,   +900.000000,          0,  +5.3693420E004,   3,+5.669080E-007,+1.071118E-006,   +100.000000,          0,                                                   U/UKIDSS/UDS2
