  RA         Dec         redshift separ     unW1mag   unW1err unW1snr    w1mpro    w1sig  w1snr    unW2mag   unW2err unW2snr    w2mpro    w2sig  w2snr  w3mpro    w3sig   w3snr  w4mpro   w4sig   w4snr
 35.3446250  -8.0476388  6.160    -9.99     18.0484   0.1184   8.6810    -9.990   -9.99   -9.9     17.0536   0.1865   5.3356    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 36.5078068   3.0498383  6.540    0.567     16.6574   0.0382  27.9130    16.726    0.08   13.2     16.1818   0.0930  11.1871    16.135    0.18    6.1   12.030    0.00    2.0    8.943    0.00    0.3  
 36.9303750  -6.0917222  6.200    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 37.5094583   0.7796667  5.410    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 37.9068333  -7.4817778  5.370    0.083     15.9864   0.0203  53.1188    15.972    0.05   21.7     15.0055   0.0316  33.9022    14.988    0.07   15.4   12.098    0.00    1.9    9.183    0.00    0.6  
 37.9706570 -28.8389110  6.000    0.975     17.6440   0.0786  13.3226    17.495    0.15    7.2     16.7487   0.1347   7.5699    16.608    0.27    4.1   11.937    0.00    2.0    8.670    0.00    1.1  
 38.9267500  -5.5448889  6.090    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 39.8760000  -0.7514999  5.820    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 40.0159141  17.5458093  5.680    -9.99     17.5445   0.0832  12.5493    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 40.4705000   4.5981833  5.220    0.401     16.2017   0.0260  41.2219    16.256    0.06   17.9     15.5296   0.0546  19.4053    15.602    0.13    8.4   12.296    0.40    2.7    8.422    0.00    1.7  
 41.0000000 -50.1333333  6.740    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 36.1105700 -47.1914900  6.500    0.019     16.1142   0.0187  57.5114    16.182    0.05   21.1     15.4214   0.0364  29.3617    15.421    0.08   14.3   12.727    0.00    0.4    9.120    0.00    0.3  
 41.7329167 -52.3305278  6.870    -9.99     17.4638   0.0532  19.9196    -9.990   -9.99   -9.9     16.9382   0.1241   8.2560    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 42.6690900  -2.9174500  5.890    0.513     17.8810   0.1110   9.2907    17.579    0.17    6.3    -99.9990  -9.9900 -99.9990    16.511    0.00    2.0   11.538    0.00    1.8    8.425    0.00   -0.2  
 42.8388749   3.5548388  5.000    0.204     15.6994   0.0167  64.4479    15.636    0.04   26.7     14.9963   0.0323  33.1072    14.929    0.07   14.8   11.815    0.24    4.5    9.202    0.00   -0.2  
 43.0693333  -5.0588333  7.020    1.175     17.4108   0.0741  14.1509    17.875    0.21    5.1     16.9059   0.1771   5.6436    16.724    0.29    3.8   12.539    0.00    0.2    9.020    0.00    0.3  
 45.1840820 -22.5408850  5.680    -9.99     16.1950   0.0250  42.9978    -9.990   -9.99   -9.9     15.7815   0.0600  17.6125    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 45.3208749   0.3405556  5.500    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 45.8808330  -0.3202499  6.080    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9     16.6054   0.1345   7.5842    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 46.3204830 -31.8488610  6.610    0.411     17.4706   0.0637  16.5516    17.677    0.15    7.5     16.8853   0.1386   7.3433    16.746    0.24    4.5   12.842    0.00    0.4    8.984    0.00    0.9  
 46.6771250  18.8877361  5.360    0.149     14.2731   0.0062 173.5226    14.313    0.03   38.3     13.4583   0.0103 105.2480    13.455    0.04   30.8   10.507    0.10   11.5    7.586    0.16    7.0  
 49.2077910 -13.6756380  5.990    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 49.2934283 -26.5543637  5.940    0.436     17.9278   0.0985  10.5344    18.054    0.18    5.9    -99.9990  -9.9900 -99.9990    17.467    0.42    2.6   12.931    0.00    0.6    9.588    0.00   -0.7  
 49.9235833 -10.1461111  6.830    0.515     17.1023   0.0507  20.9334    17.047    0.09   11.6     16.0957   0.0788  13.2901    16.233    0.17    6.4   12.124    0.00    0.9    8.900    0.00   -0.9  
 50.4794583   0.4948335  5.040    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 50.9180833 -47.0222583  6.250    1.127     17.9028   0.0765  13.7039    18.053    0.19    5.7     17.1598   0.1460   6.9481    17.104    0.29    3.7   12.716    0.00    0.7    9.012    0.00    0.9  
 52.1479420 -32.8896780  5.860    0.504     16.9785   0.0413  25.7967    16.900    0.07   14.9     16.1180   0.0708  14.8477    16.191    0.13    8.4   12.961    0.00    0.7    9.281    0.00    0.8  
 52.6163333 -40.4212222  6.250    -9.99     17.4960   0.0602  17.5352    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 53.9605244 -15.7956943  5.870    -9.99     17.7454   0.0881  11.8349    -9.990   -9.99   -9.9     16.6231   0.1201   8.5490    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 54.6221249   0.3656388  5.030    0.174     16.7812   0.0426  24.9908    17.012    0.12    8.8     16.1741   0.0935  11.1145    16.637    0.31    3.5   12.064    0.00    0.7    8.896    0.00    0.6  
 55.4243750  -0.8035444  5.680    -9.99     17.2734   0.0640  16.4698    -9.990   -9.99   -9.9     16.5345   0.1249   8.2001    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 56.7168500 -16.4769100  5.990    0.876     16.6386   0.0349  30.6365    16.800    0.09   12.2     15.7132   0.0567  18.6522    15.865    0.14    7.8   12.635    0.00   -1.1    9.023    0.00   -0.2  
 57.4974999   0.5676388  5.200    -9.99     18.1237   0.1447   7.0153    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 58.4572136   1.0679614  6.070    0.457     16.8637   0.0474  22.4250    16.646    0.09   11.5     16.3057   0.1046   9.8886    16.285    0.24    4.5   11.920    0.00    1.5    8.348    0.00    1.0  
 60.5528945  24.8567857  6.180    1.165     16.5131   0.0361  29.5692    16.470    0.09   12.6     15.8790   0.0756  13.8774    16.066    0.21    5.1   12.019    0.00    0.9    8.838    0.00    0.3  
 62.0801250 -56.5413389  6.030    1.068     17.3748   0.0418  25.4682    17.734    0.12    9.3     16.5722   0.0755  13.8923    16.841    0.18    5.9   12.756    0.00    1.2    9.483    0.00    0.3  
 62.5134583 -44.2446389  6.210    0.801     17.3948   0.0499  21.2459    17.272    0.09   12.8     16.9291   0.1200   8.5587    16.913    0.22    5.0   12.970    0.00    0.5    9.037    0.00    0.8  
 62.8692910  -9.1305000  6.810    0.516     16.8247   0.0429  24.8148    16.780    0.09   11.5     16.0512   0.0786  13.3142    16.252    0.19    5.7   12.622    0.00   -0.8    8.746    0.00    0.5  
 65.0472500 -44.8899444  6.070    0.508     17.3254   0.0452  23.5294    17.216    0.08   13.7     16.4940   0.0799  13.0909    16.822    0.20    5.4   12.428    0.00    1.6    9.055    0.00    0.7  
 65.4085370 -26.9543351  6.140    1.079     16.3072   0.0257  41.8207    16.314    0.06   17.6     15.8590   0.0618  17.0636    15.656    0.10   10.5   12.766    0.53    2.0    8.611    0.00    1.3  
 65.5041465 -19.4579685  6.120    0.339     16.0220   0.0210  51.1906    15.969    0.05   21.1     15.0467   0.0319  33.5141    15.083    0.07   15.8   12.070    0.31    3.5    8.894    0.43    2.5  
 69.9461660  16.5710277  6.510    0.226     13.9821   0.0051 212.3651    13.979    0.03   38.0     13.2759   0.0090 120.1732    13.244    0.03   33.8   10.276    0.09   12.4    7.165    0.12    8.7  
 71.0322143  -4.5591868  5.890    -9.99     17.3541   0.0624  16.9150    -9.990   -9.99   -9.9     16.7159   0.1327   7.6931    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 71.4507500  -2.3332900  5.690    0.126     16.2425   0.0248  43.2436    16.246    0.06   19.3     15.6753   0.0565  18.7382    15.563    0.11   10.1   11.681    0.00    1.3    8.669    0.48    2.3  
 73.5074500 -44.8086400  6.090    0.467     17.1742   0.0396  26.8998    16.976    0.07   14.4     16.5425   0.0825  12.6705    16.284    0.14    7.8   12.573    0.00    1.0    8.645    0.00    2.0  
 75.9356600  -7.5061300  5.880    0.416     17.1667   0.0575  18.3772    16.998    0.12    9.5     16.4986   0.1129   9.1299    16.243    0.21    5.3   11.847    0.32    3.4    8.154    0.00    1.6  
 89.9394446 -15.5833895  6.050    0.221     15.5151   0.0141  76.7374    15.521    0.04   25.2     14.5213   0.0204  52.6870    14.543    0.05   22.8   12.067    0.28    3.9    9.030    0.00    0.3  
106.6099580  29.3515277  6.580    0.861     15.9408   0.0220  48.8152    15.927    0.06   18.8     15.3470   0.0464  22.9085    15.187    0.09   12.3   12.427    0.48    2.2    8.537    0.34    3.2  
108.4429416   8.9257369  5.920    0.164     16.0183   0.0231  46.4520    15.994    0.06   19.2     15.1230   0.0386  27.5979    15.175    0.09   11.6   12.528    0.54    2.0    8.303    0.00    1.1  
112.7630300  44.9970700  5.010    0.523     15.9182   0.0201  53.4560    15.824    0.05   22.3     15.3860   0.0443  23.9944    15.300    0.09   11.5   11.792    0.25    4.4    8.309    0.00    1.7  
115.4780000  25.3415694  5.190    0.152     14.7280   0.0086 125.4479    14.778    0.03   32.1     13.8709   0.0139  77.5181    13.811    0.04   26.2   11.590    0.24    4.5    8.373    0.34    3.2  
116.9549166  11.8979055  5.260    0.066     14.5937   0.0076 141.7307    14.641    0.03   35.4     13.7802   0.0127  85.0517    13.791    0.04   28.6   11.358    0.22    5.0    8.786    0.51    2.1  
119.0755812  41.0690592  5.060    0.383     16.8361   0.0447  23.8204    16.814    0.10   11.3     16.1390   0.0871  11.9701    16.385    0.23    4.8   11.856    0.00    1.7    8.629    0.00    1.1  
120.7725830  31.6428333  6.380    0.309     16.9738   0.0527  20.1150    17.344    0.16    6.9     16.4641   0.1229   8.3425    16.447    0.28    3.9   12.053    0.00    0.8    8.709    0.40    2.7  
122.7263086  51.0944730  5.820    0.120     16.8969   0.0442  24.0909    16.943    0.10   10.7     16.1582   0.0845  12.3525    15.866    0.14    7.6   12.362    0.00    0.7    8.995    0.00    0.1  
123.2034166   4.6823722  5.290    0.221     16.3326   0.0301  35.6341    16.306    0.07   15.5     15.4131   0.0507  20.9344    15.546    0.14    8.0   12.436    0.00   -0.1    8.683    0.00   -0.7  
124.6141845  17.3811127  6.020    -9.99     15.6122   0.0170  63.2628    -9.990   -9.99   -9.9     14.8751   0.0316  33.8409    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
126.2250634  13.0380490  5.150    0.870     16.5212   0.0367  29.0552    16.433    0.08   13.1     15.6192   0.0616  17.1252    15.858    0.18    6.2   11.942    0.00    1.1    8.156    0.00    1.5  
