abcd count        RA           Dec   redshift  unW1_mag unW1_magerr    unW1_snr     unW2_mag unW2_magerr    unW2_snr
D,  74   37.50945830    0.77966666   5.41     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
A,  75   37.90683330   -7.48177777   5.37      15.98640     0.02025    53.11876     15.00554     0.03156    33.90222
A,  76   37.97065700  -28.83891100   6.00      17.64400     0.07858    13.32263     16.74868     0.13471     7.56990
D,  77   38.92675000   -5.54488889   6.09     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
D,  78   39.87600000   -0.75149990   5.82     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
B,  79   40.01591406   17.54580925   5.68      17.54453     0.08324    12.54931    -99.99900    -9.99000   -99.99900
A,  80   40.47050000    4.59818330   5.22      16.20172     0.02602    41.22189     15.52964     0.05456    19.40535
D,  81   41.00000000  -50.13333333   6.74     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
A,  82   36.11057000  -47.19149000   6.50      16.11423     0.01872    57.51142     15.42139     0.03636    29.36166
A,  83   41.73291670  -52.33052780   6.87      17.46381     0.05318    19.91964     16.93822     0.12413     8.25603
B,  84   42.66909000   -2.91745000   5.89      17.88101     0.11099     9.29066    -99.99900    -9.99000   -99.99900
A,  85   42.83887490    3.55483880   5.00      15.69936     0.01672    64.44791     14.99626     0.03231    33.10716
A,  86   43.06933330   -5.05883330   7.02      17.41081     0.07414    14.15088     16.90592     0.17712     5.64356
A,  87   45.18408200  -22.54088500   5.68      16.19496     0.02496    42.99783     15.78151     0.05996    17.61247
D,  88   45.32087490    0.34055556   5.50     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
C,  89   45.88083300   -0.32024990   6.08     -99.99900    -9.99000   -99.99900     16.60544     0.13447     7.58424
A,  90   46.32048300  -31.84886100   6.61      17.47062     0.06369    16.55156     16.88526     0.13862     7.34330
A,  91   46.67712500   18.88773610   5.36      14.27310     0.00624   173.52257     13.45828     0.01027   105.24802
D,  92   49.20779100  -13.67563800   5.99     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
B,  93   49.29342829  -26.55436370   5.94      17.92779     0.09846    10.53438    -99.99900    -9.99000   -99.99900
A,  94   49.92358330  -10.14611110   6.83      17.10234     0.05067    20.93342     16.09572     0.07877    13.29014
D,  95   50.47945830    0.49483350   5.04     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
A,  96   50.91808333  -47.02225833   6.25      17.90283     0.07647    13.70387     17.15981     0.14599     6.94806
A,  97   52.14794200  -32.88967800   5.86      16.97852     0.04129    25.79675     16.11800     0.07077    14.84772
B,  98   52.61633333  -40.42122222   6.25      17.49600     0.06022    17.53517    -99.99900    -9.99000   -99.99900
A,  99   53.96052436  -15.79569428   5.87      17.74538     0.08807    11.83491     16.62309     0.12011     8.54898
A, 100   54.62212490    0.36563880   5.03      16.78124     0.04260    24.99077     16.17409     0.09354    11.11451
A, 101   55.42437500   -0.80354444   5.68      17.27344     0.06400    16.46984     16.53448     0.12493     8.20012
A, 102   56.71685000  -16.47691000   5.99      16.63863     0.03487    30.63646     15.71320     0.05670    18.65218
B, 103   57.49749990    0.56763880   5.20      18.12372     0.14468     7.01533    -99.99900    -9.99000   -99.99900
A, 104   58.45721356    1.06796142   6.07      16.86373     0.04737    22.42503     16.30575     0.10459     9.88855
A, 105   60.55289450   24.85678567   6.18      16.51307     0.03611    29.56924     15.87899     0.07555    13.87737
A, 106   62.08012500  -56.54133888   6.03      17.37476     0.04182    25.46815     16.57215     0.07547    13.89233
A, 107   62.51345833  -44.24463888   6.21      17.39479     0.04994    21.24589     16.92909     0.11998     8.55871
A, 108   62.86929100   -9.13050000   6.81      16.82469     0.04289    24.81481     16.05119     0.07863    13.31418
A, 109   65.04725000  -44.88994444   6.07      17.32540     0.04519    23.52935     16.49396     0.07992    13.09092
A, 110   65.40853700  -26.95433511   6.14      16.30721     0.02566    41.82074     15.85897     0.06183    17.06359
A, 111   65.50414653  -19.45796853   6.12      16.02195     0.02101    51.19059     15.04674     0.03192    33.51411
A, 112   69.94616600   16.57102770   6.51      13.98212     0.00510   212.36511     13.27586     0.00900   120.17323
A, 113   71.03221433   -4.55918682   5.89      17.35414     0.06236    16.91498     16.71588     0.13268     7.69305
A, 114   71.45075000   -2.33329000   5.69      16.24253     0.02482    43.24364     15.67525     0.05645    18.73821
A, 115   73.50745000  -44.80864000   6.09      17.17422     0.03963    26.89975     16.54252     0.08248    12.67050
A, 116   75.93566000   -7.50613000   5.88      17.16667     0.05753    18.37724     16.49861     0.11285     9.12993
A, 117   89.93944458  -15.58338950   6.05      15.51514     0.01406    76.73742     14.52134     0.02041    52.68701
A, 118  106.60995800   29.35152770   6.58      15.94083     0.02202    48.81520     15.34703     0.04639    22.90850
A, 119  108.44294160    8.92573692   5.92      16.01834     0.02313    46.45200     15.12296     0.03865    27.59788
A, 120  112.76303000   44.99707000   5.01      15.91824     0.02012    53.45602     15.38602     0.04433    23.99435
A, 121  115.47800000   25.34156944   5.19      14.72804     0.00862   125.44791     13.87094     0.01392    77.51805
A, 122  116.95491660   11.89790550   5.26      14.59371     0.00763   141.73068     13.78015     0.01269    85.05167
A, 123  119.07558120   41.06905919   5.06      16.83607     0.04465    23.82037     16.13899     0.08711    11.97005
A, 124  120.77258300   31.64283330   6.38      16.97377     0.05268    20.11502     16.46407     0.12292     8.34248
A, 125  122.72630860   51.09447300   5.82      16.89686     0.04416    24.09090     16.15824     0.08452    12.35253
A, 126  123.20341660    4.68237220   5.29      16.33262     0.03005    35.63412     15.41315     0.05066    20.93442
A, 127  124.61418450   17.38111271   6.02      15.61218     0.01703    63.26283     14.87506     0.03162    33.84086
A, 128  126.22506340   13.03804903   5.15      16.52120     0.03674    29.05519     15.61918     0.06162    17.12516
A, 129  127.05586220   26.56541403   6.05      16.71437     0.04158    25.61206     16.09457     0.08860    11.76130
A, 130  127.28174060    3.06570093   5.85      17.42493     0.07118    14.75992     16.55934     0.12809     7.98628
A, 131  127.38320800   41.29455550   6.77      17.24597     0.06094    17.32095     16.60337     0.12827     7.97437
A, 132  127.38791660   25.11266666   5.35      16.70655     0.04168    25.55199     15.86109     0.07576    13.83625
A, 133  128.32358330   27.44138888   5.02      17.10907     0.05806    18.20589     16.63456     0.14658     6.91813
D, 134  128.50366670    2.19636110   6.15     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
A, 135  128.85733330   32.29794444   5.89      18.02119     0.12572     8.14570     16.85015     0.17055     5.87918
A, 136  128.97651322    5.63140460   5.07      16.40483     0.03025    35.38993     15.74002     0.06399    16.47346
A, 137  129.18276650    0.91479339   5.81      15.26772     0.01201    89.90349     14.43447     0.02066    52.04188
A, 138  129.40766600   49.48344440   6.71      17.25428     0.06108    17.28172     16.00401     0.07429    14.11972
A, 139  129.94533300   39.00319440   6.91      16.42104     0.03124    34.25809     15.69844     0.06092    17.32706
A, 140  129.98065000    0.26505830   5.84      17.60693     0.08664    12.03830     16.92082     0.16961     5.91447
A, 141  130.14626150   56.40561756   5.84      16.81725     0.04223    25.21090     16.19386     0.08520    12.25061
A, 142  130.33132310   29.08459657   5.98      17.18664     0.06499    16.21004     16.40108     0.11995     8.56058
