#RA           Dec   redshift  unW1_mag unW1_magerr unW1_snr  w1mpro w1sigmpro  w1snr  
158.5777050  20.5500594  5.010    15.8253   0.0192  55.9378    15.873    0.06   19.4
158.6938000 -14.4211000  6.070    15.9470   0.0214  50.2652    15.856    0.05   20.6
159.2257910  -2.5438734  6.380    16.8303   0.0458  23.2103    16.739    0.09   11.6
160.2025000 -11.9306111  5.440   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
160.8966374  10.1762712  5.080    17.8461   0.1129   9.1266    17.538    0.20    5.4
161.1376700  -1.4172777  5.780    16.2186   0.0261  41.0786    16.349    0.07   14.6
162.0829167  -1.1611694  6.630    15.6791   0.0171  62.8259    15.544    0.05   23.5
162.1530410  33.6632388  5.610    17.3077   0.0609  17.3222    17.030    0.11    9.9
162.1877710  46.6218184  6.230    16.2526   0.0246  43.7052    16.349    0.06   18.3
162.6519480  58.0735236  5.160    16.5020   0.0286  37.4960    16.569    0.07   14.5
163.3457870  58.0700362  5.260    16.6747   0.0328  32.5856    16.886    0.09   12.5
163.5221660  46.6250694  5.470    16.7037   0.0351  30.4370    16.741    0.08   13.1
163.6892965  16.5603856  5.130    16.0056   0.0226  47.4722    -9.990   -9.99   -9.9
164.8692000  -9.1056666  5.920    17.5507   0.0795  13.1716    17.383    0.17    6.3
165.3931661   5.5260737  5.000    16.5855   0.0386  27.6267    16.368    0.08   13.9
166.0899580  21.5746666  6.740    17.2253   0.0594  17.7893    17.310    0.16    7.0
167.4726271  56.9521143  5.950    17.8515   0.0865  12.0577    -9.990   -9.99   -9.9
167.6415660 -13.4959995  6.510    17.7961   0.1026  10.0879    -9.990   -9.99   -9.9
169.8360000  34.8800300  5.010    16.7655   0.0371  28.7882    16.606    0.07   15.6
170.0061600   6.6900833  7.080    16.9385   0.0497  21.3429    16.914    0.11    9.6
170.7085131  13.7101245  5.190    17.4733   0.0774  13.5261    17.374    0.16    6.8
170.7964583  -0.7385111  5.000    17.1031   0.0577  18.3152    17.057    0.13    8.2
171.3171439  44.8124751  5.110    16.0855   0.0208  51.8345    16.140    0.06   19.2
171.6582060  17.5829312  5.220    16.6707   0.0385  27.7134    16.601    0.09   12.3
172.1770011  26.8866654  5.770    17.1618   0.0549  19.2645    17.178    0.14    7.9
172.2410328  57.9860676  5.000    16.5220   0.0296  36.1632    16.636    0.08   13.0
173.1937500  12.1504722  5.170    16.0284   0.0223  48.1455    16.136    0.07   15.8
173.2865833  16.0654722  5.610    16.3241   0.0278  38.5224    16.432    0.08   14.2
173.5592917   8.4814722  5.690    16.3810   0.0325  32.8661    16.382    0.08   13.9
173.7872080  50.1924999  6.580    17.2323   0.0515  20.5820    17.283    0.12    8.7
174.3238678  35.8324586  6.030    16.4334   0.0280  38.2632    16.458    0.07   15.9
174.7920407 -12.2845492  5.810    17.1272   0.0563  18.7819    17.025    0.12    8.7
175.4091843 -20.2654580  5.690    16.7802   0.0426  25.0117    16.474    0.08   13.9
175.9097797  38.1413398  5.800    16.8775   0.0400  26.6653    16.930    0.10   11.1
176.6360833  -1.9106389  6.160    17.0706   0.0572  18.4912    17.338    0.16    6.8
176.7017500   1.4055833  6.270   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
176.7408000  40.6190700  5.010    15.8937   0.0177  60.8771    16.028    0.06   19.6
176.7453750  -0.0938056  6.300   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
176.7767083  -1.1661667  5.310    16.4862   0.0345  30.9697    16.264    0.07   15.6
177.0137037   7.0356349  6.340    16.5559   0.0359  29.7832    16.388    0.08   13.6
177.0675400  52.8942500  5.700    18.3618   0.1325   7.7051    -9.990   -9.99   -9.9
177.0693757  52.8639986  6.420    16.0627   0.0194  55.3836    15.967    0.05   22.7
177.1090253  30.3386968  5.130    16.9210   0.0438  24.2845    16.841    0.10   11.3
177.1382500   0.9450722  5.840    18.2225   0.1524   6.6352    -9.990   -9.99   -9.9
177.4435417   7.8140555  5.660    17.3487   0.0725  14.4806    17.291    0.15    7.1
178.0886300   0.9268583  6.370   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
178.5594134 -12.1881893  5.830    17.4293   0.0731  14.3621    -9.990   -9.99   -9.9
178.5829944  23.5659084  5.010    16.8101   0.0393  27.1064    16.868    0.11    9.9
178.6030599  13.6960522  5.000    16.7601   0.0419  25.4180    16.757    0.09   11.6
179.4516096   6.6199816  5.140    16.9730   0.0519  20.4348    16.798    0.11    9.6
180.2625833   1.5656667  6.060   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
180.5324218  32.5941100  5.260    15.9851   0.0196  54.9676    16.032    0.05   20.2
180.6932083  -0.9504722  5.930   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
181.1738947  -0.3637859  5.090    16.1840   0.0265  40.4564    15.935    0.06   19.8
181.2712417  -0.0077694  6.750    17.4534   0.0761  13.7710    17.278    0.15    7.2
181.9059988   6.5028433  6.040    17.1451   0.0609  17.3240    16.995    0.13    8.3
181.9755833  -0.0981389  6.010   -99.9990  -9.9900 -99.9990    16.659    0.10   11.3
182.0992500   0.1743611  5.270    17.9114   0.1163   8.8404    -9.990   -9.99   -9.9
182.2194450  21.1761023  5.060    16.0732   0.0220  48.9259    16.094    0.06   17.9
