#na desig		ra_hms	    dec_dms	   	  ra		 dec		redshift	
DELS J0803+3138 	08:03:05.42 +31:38:34.2  	120.772583   	 31.6428333	6.377
SDSS J0810+5105         08:10:54.32 +51:05:40.10	122.72630860     51.09447300	5.820   
SDWISE J0812+0440	08:12:48.82 +04:40:56.54   	123.2034166   	  4.6823722	5.29   	
PS1 J0817-1633		08:17:00.66 -16:33:29.29	124.2527500     -16.5581361     5.06	
SDSS J0818+1722         08:18:27.40 +17:22:51.80	124.61418450     17.38111271	6.020	
SDSS J0824+1302		08:24:54.01 +13:02:16.9	        126.2250634	 13.03804903	5.15	
ULAS J0828+2633         08:28:13.41 +26:33:55.49	127.05586220     26.56541403	6.050	
PSO J127.2817+03.0657   08:29:07.62 +03:03:56.52	127.28174060      3.06570093	5.850	
DELS J0829+4117 	08:29:31.97 +41:17:40.4  	127.383208  	 41.2945555	6.768
SUVAW J0829+2506	08:29:33.10 +25:06:45.6	        127.3879166      25.11266666	5.35	
SDSS J0833+2726		08:33:17.66 +27:26:29.0	        128.3235833	 27.44138888	5.020	
SHELLQs J0834+0211 	08:34:00.88 +02:11:46.9		128.5036667       2.1963611  	6.15 	
SDSS J0835+3217		08:35:25.76 +32:17:52.60 	128.85733330	 32.29794444	5.89
SDSS J0835+0537		08:35:54.36 +05:37:53.0	        128.97651322	  5.63140460	5.065	
SDSS J0836+0054         08:36:43.85 +00:54:53.30 	129.18276650	  0.91479339	5.810	
DELS J0837+4929 	08:37:37.84 +49:29:00.4  	129.407666  	 49.4834444	6.710
DELS J0839+3900 	08:39:46.88 +39:00:11.5  	129.945333   	 39.0031944	6.905
VIK J0839+0015          08:39:55.36 +00:15:54.2		129.98065000	  0.26505830	5.840	
SDSS J0840+5624         08:40:35.09 +56:24:19.90	130.14626150	 56.40561756	5.8441	
SDSS J0841+2905         08:41:19.52 +29:05:04.40	130.33132310	 29.08459657	5.980	
SDSS J0842+1218         08:42:29.43 +12:18:50.50	130.62263840	 12.31405085	6.076	
SHELLQs J0844-0132 	08:44:08.61 -01:32:16.5		131.0358750      -1.5379167  	6.18 	
SHELLQs J0844-0052	08:44:31.60 -00:52:54.60   	131.13166660	 -0.88183333	6.25	
SDSS J0846+0800		08:46:27.84 +08:00:51.7	        131.61600383	  8.01436554	5.0
IMS J0850-0506		08:50:28.16 -05:06:06.9		132.6173333   	 -5.1019167	5.357
SDSS J0850+3246         08:50:48.25 +32:46:47.90	132.70102550	 32.77998310	5.870	
SHELLQs J0853+0139	08:53:48.84 +01:39:11.00	133.45350000	  1.65305555	6.01    
SDSS J0854+2056		08:54:30.37 +20:56:50.8	        133.62655121	 20.94745469	5.17	
SHELLQs	J0857+0056	08:57:38.53 +00:56:12.70	134.41054160	  0.93686111	6.35 	
SHELLQs J0858+0000 	08:58:13.51 +00:00:57.1		134.5562917       0.0158611	5.99 	
HSC J0859+0022          08:59:07.19 +00:22:55.90	134.77995830	  0.38219444	6.390	
PSO J135.3860+16.2518   09:01:32.65 +16:15:06.83	135.38604310	 16.25189854	5.630	
SDSS J0902+0851		09:02:45.76 +08:51:15.9	        135.69067056	  8.85442286	5.215	
SHELLQs J0902+0155	09:02:54.87 +01:55:10.90	135.72862500	  1.91969444	6.01    
SHELLQs	J0903+0211	09:03:14.68 +02:11:28.30	135.81116660	  2.19119444	5.92    
PSO J135.8704-13.8336   09:03:28.91 -13:50:01.27 	135.87045680	-13.83368626	5.910   
SHELLQs J0905+0300	09:05:44.65 +03:00:58.80	136.43604160	  3.01633333	6.27    
SDSS J0906+6930		09:06:30.75 +69:30:30.8	        136.62812499 	 69.50855555	5.470	
SHELLQs J0909+0440 	09:09:21.50 +04:40:42.9		137.3395833       4.6785833 	6.15 	
DELS J0910+1656 	09:10:13.63 +16:56:29.8  	137.556791   	 16.9416111	6.72
DELS J0910-0414 	09:10:54.53 -04:14:06.8  	137.727208  	 -4.2352222	6.63
SHELLQs J0911+0152	09:11:14.27 +01:52:19.40	137.80945830	  1.87205555	6.07    
SDSS J0913+5919		09:13:16.55 +59:19:21.6	        138.31896345	 59.32268879	5.12	
SDSS J0915+4924		09:15:43.64 +49:24:16.6	        138.93184201	 49.40462411	5.19	
SDSS J0917+3830		09:17:57.95 +38:30:40.1	        139.49149069	 38.51115496	5.11	
SHELLQs J0918+0139 	09:18:33.17 +01:39:23.3		139.6382083       1.6564722  	6.19 	
SHELLQs J0921+0007	09:21:20.56 +00:07:22.9		140.3356667       0.1230278 	6.56 	
SDSS J0922+2653		09:22:16.81 +26:53:59.0	        140.57005630	 26.89973758	5.048	
SDSS J0923+3009		09:23:36.78 +30:09:49.5	        140.90326724	 30.16377289	5.067	
SHELLQs J0923+0402	09:23:47.12 +04:02:54.4		140.9463333       4.0484444	6.60 	
TN J0924-2201		09:24:19.92 -22:01.41.5         141.0830000      22.0281944     5.19 	
SDSS J0927+2001         09:27:21.82 +20:01:23.70 	141.84091980	 20.02323341	5.772   
SDSS J0932+1222		09:32:49.75 +12:22:05.8	        143.20733070	 12.36828033	5.019	
SUVAQ J0935-0207	09:35:23.31 -02:07:54.4	        143.84712500     -2.13177777	5.32	
SDSS J0948+2106		09:48:55.36 +21:06:31.5	        147.23068155	 21.10876938	5.172	
SDSS J0957+0610		09:57:07.67 +06:10:59.5	        149.28198799	  6.183206919	5.14	
SUVAW J0957+1016	09:57:12.20 +10:16:18.5	       	149.30083333     10.27180555	5.14	
SDSS J0957+0519		09:57:27.86 +05:19:05.2	        149.36611150	  5.318132272	5.185	
SHELLQs J0957+0053 	09:57:40.39 +00:53:33.6		149.4182917       0.8926667	6.05 	
SDSS J0958+3524		09:58:14.02 +35:24:48.8	        149.55845095	 35.41356330	5.116	
SDSS J0959+0227		09:59:08.10 +02:27:07.4	       	149.78374999	  2.45204444	5.070	
SDSS J1000+2103		10:00:43.77 +21:03:26.6	       	150.18239929	 21.05740935	5.07	
SDSS J1000+0234		10:00:51.50 +02:34:57.5        	150.21458333	  2.58263333	5.300
SHELLQs J1004+0239 	10:04:01.36 +02:39:30.7		151.0056667       2.6585278	6.41 	
SUVAW J1006-0310	10:06:14.61 -03:10:30.4	       	151.56087499     -3.17511111	5.55	
SDSS J1013+4240		10:13:36.33 +42:40:26.4	       	153.40139162	 42.67400058	5.03
SUHAW J1016+2541	10:16:37.71 +25:41:31.9 	154.1571250      25.6921944     5.64
SUVAW J1022+0801	10:22:01.91 +08:01:22.2	       	155.50795833      8.02283333	5.30
SDSS J1022+2252		10:22:10.04 +22:52:25.4	       	155.54186210	 22.87373501	5.47
SDSS J1026+2542		10:26:23.62 +25:42:59.4	       	156.59845266	 25.71651275	5.25	
SDSS J1028+0746		10:28:33.45 +07:46:18.9	       	157.13939876	  7.77193216	5.15	
SDSS J1030+0524         10:30:27.10 +05:24:55.00	157.61295850	  5.41529456	6.308   
PSO J157.9070-02.6599   10:31:37.69 -02:39:35.67	157.90703640	 -2.65990731	5.880   
SDSS J1034+5722		10:34:14.33 +57:22:27.7	       	158.55970833	 57.37436111	5.400	
SDSS J1034+2033		10:34:18.64 +20:33:00.2	       	158.57770505	 20.55005942	5.01	
PS1 J1034-1233 		10:34:36.86 -12:33:42.49	158.6535833     -12.5618028 	5.51	
ATLAS J158.6938-14.4211	10:34:46.51 -14:25:15.96	158.6938	 -14.4211	6.07	
PSO J159.2257-02.5438   10:36:54.19 -02:32:37.94	159.22579100	 -2.54387343	6.381   
SDSS J1040-1155		10:40:48.60 -11:55:50.2	       	160.20250000    -11.93061111	5.440	
SDSS J1043+1010		10:43:35.19 +10:10:34.5	       	160.89663741	 10.17627122	5.085	
SDSS J1044-0125         10:44:33.04 -01:25:02.20	161.13767000	 -1.41727770	5.7847  
DELS J1048-0109		10:48:19.08 -01:09:40.45	162.0795000      -1.1612361 	6.678  	
SDSS J1048+3339 	10:48:36.73 +33:39:47.66 	162.153041   	 33.6632388	5.61
SDSS J1048+4637         10:48:45.05 +46:37:18.30	162.18777100	 46.62181837	6.2284	
SDSS J1050+5804		10:50:36.46 +58:04:24.6	       	162.65194802	 58.07352357	5.155	
SDSS J1053+5804		10:53:22.98 +58:04:12.1	       	163.34578703	 58.07003623	5.265	
SDSS J1054+4637 	10:54:05.32 +46:37:30.25 	163.522166   	 46.6250694	5.47
SDSS J1054+1633		10:54:45.43 +16:33:37.3	       	163.68929649	 16.56038561	5.135	
PS1 J1057-1758		10:57:27.60 -17:58:31.70	164.3650000     -17.9754722 	5.34	
CFHQS J1059-0906        10:59:28.61 -09:06:20.40	164.86920000	 -9.10566660	5.9200	
SDSS J1101+0531		11:01:34.35 +05:31:33.8	       	165.39316612	  5.52607366	5.0	
DELS J1104+2134 	11:04:21.59 +21:34:28.8  	166.089958  	 21.5746666	6.74
PSO J167.4726+56.9521   11:09:53.43 +56:57:07.61	167.47262710	 56.95211429	5.9500	
PSO J167.6415-13.4960   11:10:33.96 -13:29:45.60	167.64156600	-13.49599950	6.5148	
SDSS J1119+3452		11:19:20.64 +34:52:48.2		169.83600	 34.88003	5.014	
ULAS J1120+0641         11:20:01.48 +06:41:24.30	170.00616000	  6.69008330	7.0842	
PS1 J1121-0718		11:21:43.65 -07:18:39.69	170.4318750      -7.3110250	5.71	
SDSS J1122+1342		11:22:50.04 +13:42:36.4	       	170.70851309	 13.71012455	5.187	
SDSS J1123-0044		11:23:11.15 -00:44:18.6	       	170.79645833	 -0.73851111	5.000	
SDSS J1125+4448		11:25:16.11 +44:48:44.9	       	171.31714388	 44.81247508	5.11	
SDSS J1126+1734		11:26:37.96 +17:34:58.5	       	171.65820596	 17.58293115	5.216	
PSO J172.1770+26.8866   11:28:42.48 +26:53:12.00	172.17700110	 26.88666537	5.770	
SDSS J1128+5759		11:28:57.84 +57:59:09.8	       	172.24103279	 57.98606763	5.001	
SDSS J1132+1209		11:32:46.50 +12:09:01.7	       	173.19375000	 12.15047222	5.167	
SUVAW J1133+1603	11:33:08.78 +16:03:55.7	       	173.28658333     16.06547222	5.61	
SUVAW J1134+0828	11:34:14.23 +08:28:53.3	       	173.55929166      8.48147222	5.69	
DELS J1135+5011 	11:35:08.93 +50:11:33.0  	173.787208   	 50.1924999	6.58
SDSS J1137+3549         11:37:17.73 +35:49:56.90	174.32386780	 35.83245858	6.030	
PS1 J1137-1049		11:37:35.37 -10:49:34.54	174.3973750     -10.8262611     5.50	
PSO J174.7920-12.2845   11:39:10.09 -12:17:04.38	174.79204070	-12.28454921	5.810	
PSO J175.4091-20.2654   11:41:38.20 -20:15:55.65	175.40918430	-20.26545798	5.690	
SDSS J1143+3808         11:43:38.34 +38:08:28.70	175.90977970	 38.14133978	5.800	
SHELLQs J1146-0154 	11:46:32.66 -01:54:38.3		176.6360833      -1.9106389	6.16 	
SHELLQs J1146+0124 	11:46:48.42 +01:24:20.1		176.7017500       1.4055833  	6.27 	
SDSS J1146+4037		11:46:57.79 +40:37:08.7		176.7407917      40.6190833	5.009
SHELLQs J1146-0005 	11:46:58.89 -00:05:37.7		176.7453750      -0.0938056	6.30
SUVAW J1147-0109	11:47:06.41 -01:09:58.2	       	176.77670833     -1.16616666	5.31
ULAS J1148+0702         11:48:03.29 +07:02:08.30	177.01370370	  7.03563490	6.339	
RD J1148+5253           11:48:16.21 +52:53:39.30	177.06754000	 52.89425000	5.700	
SDSS J1148+5251         11:48:16.64 +52:51:50.30	177.06937570	 52.86399858	6.4189	
SDSS J1148+3020		11:48:26.16 +30:20:19.3	       	177.10902530	 30.33869677	5.13	
VIK J1148+0056          11:48:33.18 +00:56:42.3		177.13825000	  0.94507220	5.840	
SUVAW J1149+0748	11:49:46.45 +07:48:50.6	       	177.44354166      7.81405555	5.66	
VIK J1152+0055          11:52:21.27 +00:55:36.60	178.08863000	  0.92685833	6.3643	
PSO J178.5594-12.1881   11:54:14.26 -12:11:17.48	178.55941340	-12.18818926	5.830	
SDSS J1154+2333		11:54:19.91 +23:33:57.2	       	178.58299441	 23.56590841	5.011	
SDSS J1154+1341		11:54:24.73 +13:41:45.7	       	178.60305991	 13.69605218	5.005	
SDSS J1157+0637		11:57:48.38 +06:37:11.9	       	179.45160964	  6.61998161	5.14	
SHELLQs J1201+0133	12:01:03.02 +01:33:56.40	180.26258330	  1.56566667	6.06   	
SDSS J1202+3235		12:02:07.78 +32:35:38.7	       	180.53242178	 32.59410995	5.263	
HSC J1202-0057          12:02:46.37 -00:57:01.70	180.69320830	 -0.95047222	5.930	
SDSS J1204-0021		12:04:41.73 -00:21:49.6	       	181.17389474	 -0.36378588	5.09	
HSC J1205-0000          12:05:05.09 -00:00:27.90	181.27124170	 -0.00776944	6.75	
ULAS J1207+0630         12:07:37.43 +06:30:10.10	181.90599880	  6.50284332	6.0366	
HSC J1207-0005          12:07:54.14 -00:05:53.30	181.97558330	 -0.09813889	6.010	
SDSS J1208+0010		12:08:23.82 +00:10:27.7	       	182.09924999	  0.17436111	5.273	
SDSS J1208+2110		12:08:52.66 +21:10:33.9	       	182.21944502	 21.17610232	5.06	
SHELLQs J1208-0200	12:08:59.23 -02:00:34.80	182.24679167	 -2.00966667	6.2     
SHELLQs J1209-0006 	12:09:23.99 -00:06:46.5		182.3499583      -0.1129167	5.86 	
SDSS J1209+1831		12:09:52.73 +18:31:47.2	       	182.46970927	 18.52978084	5.148	
PSO J183.1124+05.0926	12:12:26.98 +05:05:33.49	183.11242083	  5.09263611	6.4386	
PSO J183.2991-12.7676   12:13:11.80 -12:46:03.50	183.29919000	-12.76762400	5.86	
VIK J1215+0023          12:15:16.87 +00:23:24.65	183.82029860	  0.39018341	5.93	
DELS J1216+4519 	12:16:27.58 +45:19:10.7  	184.114916  	 45.3196388	6.654
PSO J184.3389+01.5284   12:17:21.35 +01:31:42.47	184.33893340	  1.52846356	6.20	
SDSS J1218+1807 	12:18:11.19 +18:07:50.54 	184.546624   	 18.1307055	5.30
SHELLQs J1219+0050 	12:19:05.34 +00:50:37.5		184.7722500       0.8437500	6.01 	
SDSS J1221+4445		12:21:46.42 +44:45:28.0	       	185.44341967	 44.75779109	5.191	
SDSS J1222+1958		12:22:37.96 +19:58:42.9	       	185.65818188	 19.97859073	5.13	
PSO J187.1047-02.5609   12:28:25.15 -02:33:39.25	187.10479000	 -2.56090331	5.77	
PSO J187.3050+04.3243   12:29:13.20 +04:19:27.70	187.30503360	  4.32437446	5.89	
SDSS J1233+0622		12:33:33.47 +06:22:34.1	       	188.38947332	  6.376165019	5.302	
SDSS J1236+4657 	12:36:06.05 +46:57:25.13 	189.025208   	 46.9569805	5.55
SDSS J1236+6209		12:36:47.96 +62:09:41.6	       	189.19983333 	 62.16155555	5.186	
SDSS J1242+5213		12:42:47.91 +52:13:06.7	       	190.69966293	 52.21853315	5.04	
ULAS J1243+2529         12:43:40.81 +25:29:23.90	190.92005410	 25.48996970	5.83	
SDSS J1250+3130         12:50:51.93 +31:30:22.90	192.71636150	 31.50608276	6.15	
XMM J125329+30		12:53:29.4  +30:55:39	        193.372546       30.92761967	5.08		
PSO J194.1290+25.5476   12:56:30.97 +25:32:51.45	194.12903260	 25.54762379	5.91	
