qsoName,ra,dec,Z,Y,J,H,K,errZ,errY,errJ,errH,errK
                   UHSJ0439+1634,    69.9461660,    16.5710277,  -999.9999900,  -999.9999900,    17.4729290,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.0117400,  -999.9999900,  -999.9999900
                   VIKJ1148+0056,   177.1382500,     0.9450722,  -999.9999900,    22.1214400,    21.5773030,    21.8596170,    21.1561030	-999.9999900,     0.5265080,     0.1076540,     0.2702940,     0.0836860
                   VIKJ1152+0055,   178.0886300,     0.9268583,  -999.9999900,    21.5555530,    21.8045140,    21.2691700,    21.8620950	-999.9999900,     0.3199660,     0.3692080,     0.4075700,     0.7215710
                   VIKJ1215+0023,   183.8202986,     0.3901834,  -999.9999900,    22.6209580,    20.9869600,    21.6576940,    20.8583100	-999.9999900,     0.8018760,     0.2734020,     0.4475950,     0.3467850
                  DELSJ0706+2921,   106.6099580,    29.3515277,  -999.9999900,  -999.9999900,    19.1359560,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.0456550,  -999.9999900,  -999.9999900
                  DELSJ0803+3138,   120.7725830,    31.6428333,  -999.9999900,  -999.9999900,    20.1910200,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.1043000,  -999.9999900,  -999.9999900
                  DELSJ0829+4117,   127.3832080,    41.2945555,  -999.9999900,  -999.9999900,    20.2610910,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.1233820,  -999.9999900,  -999.9999900
                  DELSJ0837+4929,   129.4076660,    49.4834444,  -999.9999900,  -999.9999900,    20.3065950,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.1429960,  -999.9999900,  -999.9999900
                  DELSJ0910+1656,   137.5567910,    16.9416111,  -999.9999900,  -999.9999900,    20.7364200,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.2221300,  -999.9999900,  -999.9999900
                  DELSJ0910-0414,   137.7272080,    -4.2352222,  -999.9999900,  -999.9999900,    20.2336370,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.1432020,  -999.9999900,  -999.9999900
                  DELSJ1048-0109,   162.0829167,    -1.1611694,  -999.9999900,    20.1205750,    19.5960000,    19.3634550,    18.8568000	-999.9999900,     0.0728970,     0.0599630,     0.1001490,     0.0547310
                  DELSJ1104+2134,   166.0899580,    21.5746666,  -999.9999900,  -999.9999900,    19.9134200,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.1030010,  -999.9999900,  -999.9999900
                  DELSJ1135+5011,   173.7872080,    50.1924999,  -999.9999900,  -999.9999900,    20.4436990,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.1370620,  -999.9999900,  -999.9999900
                  DELSJ1216+4519,   184.1149160,    45.3196388,  -999.9999900,  -999.9999900,    21.2680720,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.3814850,  -999.9999900,  -999.9999900
                  DELSJ1316+1028,   199.0339160,    10.4757777,  -999.9999900,    20.8726860,    20.7393590,    20.7901860,    19.6453400	-999.9999900,     0.1167670,     0.0863090,     0.2664210,     0.0751640
