na desig ra dec redshift secl mag M1450 Jband errJband
SDSS J1630+4012           247.6412639000  40.202692930000 6.0650 2 20.57 -26.19  20.32  0.10  
CFHQS J1641+3755          250.3405347000  37.922262880000 6.0470 2 21.09 -25.67  21.24  0.14  
PSO J267.0021+22.7812     267.0021100000  22.781210670000 5.9500 4 21.04 -25.70  21.02  0.22  
PSO J293.0317+71.6523     293.0317650000  71.652335490000 6.0800 4 19.85 -26.92  19.67  0.05  
PSO J308.0416-21.2339     308.0416401000 -21.233974950000 6.2400 4 20.46 -26.35  20.17  0.11  
PSO J308.4829-27.6485     308.4829700000 -27.648500000000 5.8000 4 19.91 -26.78  19.46  0.06  
SDSS J2053+0047           313.3407000000   0.785222200000 5.9200 4 21.44 -25.29  21.37  0.07  
SDSS J2054-0005           313.5270400000  -0.087444400000 6.0391 1 20.55 -26.21  20.59  0.15  
CFHQS J2100-1715          315.2275800000 -17.256249000000 6.0870 2 21.22 -25.55  21.42  0.10  
PSO J319.6040-10.9326     319.6040300000 -10.932620000000 5.9000 4 20.00 -26.72  20.02  0.05  
PSO J320.8703-24.3604     320.8703300000 -24.360400000000 5.7300 4 20.46 -26.22  20.26  0.10  
SDSS J2147+0107           326.9808700000   1.132027700000 5.8100 4 21.33 -25.37  21.73  0.14  
PSO J328.7339-09.5076     328.7339966000  -9.507627404000 5.9200 4 20.38 -26.34  20.26  0.16  
IMS J2204+0012            331.0746667000   1.195777780000 5.9400 4 22.41 -24.32  22.34  0.08  
PSO J333.9859+26.1081     333.9859789000  26.108168370000 6.0300 4 20.31 -26.44  20.44  0.05  
HSC J2216-0016            334.1852917000  -0.280583333300 6.1000 4 23.16 -23.62  99.99  9.99              
VIMOS 2911001793           334.8217500000   1.046916667000 6.1600 4 24.19 -22.60  24.13  0.31  
SDSS J2220-0101           335.0770400000  -1.029691140000 5.6200 4 20.66 -25.98  20.42  0.19  
HSC J2228+0128            337.1159583000   1.469305556000 6.0100 4 24.34 -22.41  99.99  9.99              
SDSS J2228+0110           337.1814100000   1.175611100000 5.9500 4 22.20 -24.54  20.90 -1.00  
CFHQS J2229+1457          337.2568700000  14.952499000000 6.1517 1 22.01 -24.78  21.95  0.07  
HSC J2232+0012            338.0501250000   0.210666666700 6.1800 4 24.04 -22.76  99.99  9.99              
PSO J338.2298+29.5089     338.2297707000  29.508975990000 6.6580 2 20.78 -26.14  20.74  0.09  
HSC J2236+0032            339.1857500000   0.549138888900 6.4000 4 23.25 -23.60  99.99  9.99              
PSO J340.2041-18.6621     340.2041700000 -18.662170000000 6.0100 4 20.34 -26.42  20.28  0.08  
CFHQS J2242+0334          340.6564500000   3.572666600000 5.8800 4 22.20 -24.51  22.13  0.12  
SDSS J2307+0031           346.8972900000   0.530388800000 5.8700 4 21.44 -25.27  21.37  0.11  
SDSS J2310+1855           347.6620586000  18.922201660000 6.0031 1 18.95 -27.80  18.88  0.05  
SDSS J2315-0023           348.9440400000  -0.399472200000 6.1200 4 21.12 -25.66  20.88  0.08  
CFHQS J2318-0246          349.5116600000  -2.776111100000 6.0500 4 21.66 -25.10  21.60  0.11  
SDSS J2325+2628           351.3093508000  26.479953090000 5.7700 4 19.41 -27.27  18.91  0.03  
CFHQS J2329-0301          352.2845000000  -3.032999900000 6.4170 2 21.61 -25.25  21.56  0.25  
CFHQS J2329-0403          352.3102500000  -4.056694400000 5.9000 4 22.07 -24.65  22.00  0.19  
VIK J2348-3054            357.1389000000 -30.902844000000 6.9018 1 21.17 -25.80  21.14  0.08  
PSO J357.8289+06.4019     357.8289911000   6.401921910000 5.8100 4 21.41 -25.28  21.69  0.35  
PSO J359.1352-06.3831     359.1352149000  -6.383126444000 6.1500 4 20.00 -26.79  19.85  0.10  
SDSS J2356+0023           359.2149100000   0.392583300000 6.0000 4 21.25 -25.50  21.18  0.07  
