# qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
#
# Results of Query: Database VSERV1000v20181217 12/02/19 11:45
# SELECT qso.qsoName,aver.filterID,AVG(m.mjdObs) as mjd, 
# (MAX(m.mjdObs)-MIN(m.mjdObs)) as duration, aver.aperJky3, 
# aver.aperJky3Err,(aver.aperMag3+f.VegaToAB) as aperMag3Ab,
# aver.aperMag3Err, aver.ppErrBits, COUNT(mfs.catalogueID) as nMeas,
# SUM(d.totalExpTime) as totExpTime   /* In this selection we have 
# included the average mjdObs (averaged   over all frames in a 30 day 
# period) and the duration (the mjd of the   last frame in the period 
# minus that of the first), the number of   frames (nMeas) and the sum 
# of the integration times. We have also   included the calibrated 
# fluxes (aperJky3), since in many cases the a   faint source may have 
# very low S/N */ FROM finalQsoCatalogue as qso,
# MapApertureIDshighzQsoMap as ma, vserv1000MapRemeasAver as aver,
# MapProvenance as mp, MapFrameStatus as mfs,MultiframeDetector as d,
# Multiframe as m,Filter as f, vserv1000MapRemeasurement as remeas   /* 
# The tables to select from include MapProvenance to select the   
# correct averaging time scale and to get the frames used in each   
# average catalogue. Also include MultiframeDetector to get the   
# integration time. */ WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=aver.apertureID and mp.combiCatID=aver.catalogueID and 
# mp.avSetupID=3 and    /* Do joins and select avSetupID=3 --> average 
# over 30 days. Other   avSetupID values can be used to change the 
# averaging timescale */ mp.catalogueID=mfs.catalogueID and 
# d.multiframeID=mfs.multiframeID and 
# mfs.catalogueID=remeas.catalogueID and 
# remeas.apertureID=aver.apertureID and remeas.extNum=d.extNum and 
# qsoID=164 and f.filterID=d.filterID and m.multiframeID=d.multiframeID 
#   /* Select qsoID=54 */  GROUP BY qso.qsoName,aver.filterID, 
# aver.aperJky3,aver.aperJky3Err, aver.aperMag3,aver.aperMag3Err,
# aver.ppErrBits,f.VegaToAB   /* GROUP BY attributes that are part of 
# are associated with the   average so that we get statistics for 
# properties measured at the   frame level */
# Column Headers at start of file AND below
#
# qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
                  SDSSJ1000+0234,   2,  +57061.7182856,     +25.9223030,+3.449614E-007,+1.275485E-007,    +25.038574,     +0.401448,          0,         10,  +35760.0000000
                  SDSSJ1000+0234,   2,  +57364.5358764,     +11.0212776,+3.830769E-007,+2.671397E-007,    +24.924786,     +0.757141,          0,          4,   +9000.0000000
                  SDSSJ1000+0234,   2,  +55194.3100402,      +0.0408993,+4.650350E-007,+2.934106E-007,    +24.714285,     +0.685038,          0,          2,   +3600.0000000
                  SDSSJ1000+0234,   3,  +55897.8041934,     +15.0117215,-4.969913E-007,+3.441506E-007, -9.999995E008, -9.999995E008,          0,          2,   +4200.0000000
                  SDSSJ1000+0234,   3,  +56051.7268820,     +11.9929123,-3.598359E-007,+2.997141E-007, -9.999995E008, -9.999995E008,          0,          3,  +10800.0000000
                  SDSSJ1000+0234,   3,  +57417.4120149,     +20.0275639,-9.861279E-008,+1.313933E-007, -9.999995E008, -9.999995E008,          0,         17,  +37800.0000000
                  SDSSJ1000+0234,   3,  +56640.2894405,     +19.8910852,-9.034490E-008,+1.866698E-007, -9.999995E008, -9.999995E008,          0,          7,  +19800.0000000
                  SDSSJ1000+0234,   3,  +57101.4578877,     +24.7854395,-1.108021E-008,+1.842870E-007, -9.999995E008, -9.999995E008,          0,          6,  +16560.0000000
                  SDSSJ1000+0234,   3,  +56329.3400789,     +28.8838462,-1.003093E-008,+1.034453E-007, -9.999995E008, -9.999995E008,          0,         15,  +53520.0000000
                  SDSSJ1000+0234,   3,  +56669.8418340,     +27.9191500,-6.372409E-009,+1.577157E-007, -9.999995E008, -9.999995E008,          0,          9,  +25800.0000000
                  SDSSJ1000+0234,   3,  +55232.6814412,     +24.0719340,-1.047790E-009,+2.382756E-007, -9.999995E008, -9.999995E008,          0,         12,  +36480.0000000
                  SDSSJ1000+0234,   3,  +55945.0257650,     +29.9823335,+2.044919E-008,+1.639919E-007,    +28.107310,     +8.707038,          0,          5,  +18000.0000000
                  SDSSJ1000+0234,   3,  +55295.0911985,      +9.0464827,+2.823364E-008,+3.827459E-007,    +27.757082,    +14.718649,          0,         10,  +28920.0000000
